# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.012207 -0.114139
0.015564 -0.093692
0.006409 -0.075686
0.005188 -0.044862
0.000916 -0.006104
-0.001526 0.026246
-0.003662 0.065310
-0.007630 0.090030
-0.005188 0.112308
-0.009461 0.117801
-0.007935 0.115055
-0.006104 0.099185
-0.004273 0.074770
0.001831 0.042116
0.000000 0.001526
0.012207 -0.023499
0.005493 -0.066530
0.012207 -0.092166
0.014039 -0.109561
0.011902 -0.119022
0.014039 -0.114139
0.009461 -0.100406
0.012513 -0.070803
0.005188 -0.040590
0.003052 -0.005493
-0.005188 0.028687
-0.001221 0.065920
-0.005799 0.092471
-0.012818 0.106815
-0.006409 0.120548
-0.010071 0.110172
-0.005493 0.098880
-0.002136 0.074160
0.000916 0.041200
0.002747 0.008240
0.005188 -0.032655
0.011902 -0.061647
0.006104 -0.098880
0.012818 -0.110782
0.011902 -0.119327
0.013733 -0.112308
0.011597 -0.097964
0.003357 -0.078127
0.005493 -0.039674
-0.000610 -0.011902
0.000305 0.032350
-0.002136 0.065310
-0.005799 0.092166
-0.007630 0.110477
-0.011292 0.115665
-0.006409 0.116886
-0.005493 0.097354
-0.003967 0.073244
-0.001526 0.040284
0.006104 0.009766
0.003662 -0.034486
0.006409 -0.067751
0.009461 -0.091861
0.007630 -0.114139
0.013123 -0.116886
0.014954 -0.111698
0.012513 -0.095828
0.008545 -0.072329
0.004578 -0.043947
0.007324 0.003052
0.000000 0.030213
-0.003967 0.064394
-0.007630 0.091250
-0.003052 0.114750
-0.007935 0.115055
-0.009766 0.112003
-0.008545 0.098270
-0.006714 0.070193
0.000000 0.041505
0.003662 0.005799
0.007630 -0.028993
0.009461 -0.063173
0.011902 -0.090945
0.014649 -0.108036
0.012207 -0.118717
0.012207 -0.114139
0.010071 -0.100101
0.012818 -0.068972
0.004578 -0.043336
0.000610 -0.006714
-0.003662 0.029603
-0.005799 0.061953
-0.005493 0.091861
-0.008240 0.107730
-0.004273 0.119938
-0.007324 0.115055
-0.008545 0.097964
-0.004273 0.075076
-0.001221 0.042421
0.006104 0.009766
0.002441 -0.034486
0.014039 -0.057375
0.008545 -0.094913
0.011597 -0.111393
0.010987 -0.118412
0.014649 -0.115055
0.010987 -0.097049
0.010071 -0.072329
0.009156 -0.041505
0.003967 -0.003662
-0.002747 0.031129
-0.004883 0.063478
-0.004273 0.093081
-0.008850 0.109256
-0.010681 0.115665
-0.003357 0.119327
-0.009461 0.096133
-0.003052 0.073244
-0.003357 0.039369
0.000610 0.005799
0.007324 -0.032044
0.007935 -0.065004
0.012207 -0.087893
0.013123 -0.108951
0.012513 -0.115970
0.011902 -0.116886
0.012513 -0.098575
0.007935 -0.072939
0.002747 -0.046388
0.001831 -0.003967
-0.003662 0.028382
-0.006409 0.063478
-0.005188 0.090640
-0.008240 0.109256
-0.008545 0.119327
-0.007324 0.113834
-0.004273 0.101016
-0.004273 0.072939
-0.000610 0.042116
0.002747 0.003357
0.008240 -0.028077
0.007630 -0.065310
0.009461 -0.095523
0.011597 -0.109561
0.009766 -0.121158
0.014039 -0.112918
0.012513 -0.096744
0.010987 -0.070803
0.007630 -0.042116
0.001221 -0.006104
0.000305 0.031739
-0.004883 0.064394
-0.005493 0.093692
-0.007630 0.108646
-0.003967 0.121769
-0.011292 0.110477
-0.008545 0.096438
-0.006409 0.072634
-0.001831 0.039064
0.003357 0.005493
0.004883 -0.030213
0.010376 -0.064394
0.010681 -0.091556
0.011902 -0.112003
0.012818 -0.116581
0.012818 -0.112308
0.008240 -0.099185
0.007019 -0.075381
0.008240 -0.037538
0.000000 -0.007935
-0.001221 0.029908
-0.004883 0.064699
-0.006409 0.089724
-0.008240 0.111087
-0.009461 0.116276
-0.006409 0.114750
-0.007630 0.099185
-0.002747 0.073244
-0.001831 0.041810
0.001526 0.007019
0.005493 -0.032044
0.009156 -0.064089
0.014039 -0.089114
0.009156 -0.114444
0.013123 -0.117191
0.013733 -0.110782
0.010376 -0.099185
0.009156 -0.074160
0.005188 -0.043947
0.005188 -0.001831
-0.002747 0.031129
-0.004883 0.063784
-0.008240 0.092471
-0.009461 0.111087
-0.008545 0.116886
-0.011902 0.109561
-0.007630 0.098575
-0.007324 0.068667
-0.000610 0.040895
0.004578 0.007019
0.005799 -0.031434
0.009461 -0.063784
0.011597 -0.092776
0.014039 -0.107730
0.014344 -0.117191
