# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.017396 0.278634
-0.009461 0.230415
-0.007324 0.181280
-0.000916 0.133671
0.001526 0.082095
0.006104 0.033265
0.009461 -0.018006
0.014954 -0.068667
0.020753 -0.117496
0.026246 -0.164800
0.029298 -0.216987
0.033570 -0.264595
0.033265 -0.311899
0.042421 -0.353404
0.042116 -0.404675
0.048219 -0.443129
0.052492 -0.484939
0.054933 -0.522477
0.057680 -0.560015
0.060427 -0.595721
0.065004 -0.625324
0.066225 -0.656758
0.067446 -0.684225
0.069887 -0.708640
0.070193 -0.730918
0.072329 -0.750145
0.071718 -0.766930
0.074465 -0.779748
0.074160 -0.787378
0.073855 -0.797449
0.072634 -0.798364
0.073855 -0.800806
0.074465 -0.797754
0.073244 -0.791650
0.073550 -0.780053
0.072024 -0.767541
0.068972 -0.754723
0.065004 -0.736412
0.067141 -0.711692
0.060121 -0.692465
0.058596 -0.664083
0.054933 -0.632344
0.053407 -0.602741
0.048524 -0.568560
0.046388 -0.531327
0.042726 -0.491043
0.038453 -0.452589
0.034791 -0.409558
0.030213 -0.365612
0.026246 -0.320444
0.021973 -0.274667
0.016785 -0.226142
0.014649 -0.177618
0.009156 -0.130009
0.003662 -0.078738
0.000916 -0.024720
-0.006409 0.021058
-0.009461 0.074160
-0.015259 0.120853
-0.020447 0.170598
-0.024415 0.218513
-0.026856 0.268563
-0.032655 0.313120
-0.035707 0.358898
-0.038453 0.403150
-0.042116 0.447401
-0.046083 0.487686
-0.048524 0.526139
-0.053713 0.562456
-0.055239 0.598163
-0.056764 0.629902
-0.060121 0.658895
-0.062868 0.686666
-0.063478 0.711997
-0.065004 0.732749
-0.065920 0.753807
-0.066530 0.766015
-0.065920 0.782495
-0.070498 0.788598
-0.068056 0.798364
-0.069582 0.802332
-0.068972 0.803858
-0.066530 0.800501
-0.068361 0.793176
-0.065004 0.785546
-0.062868 0.773949
-0.061342 0.756554
-0.062258 0.737022
-0.057375 0.718101
-0.055239 0.692160
-0.053713 0.666524
-0.049440 0.637837
-0.046083 0.605487
-0.042421 0.573138
-0.040590 0.535905
-0.035401 0.495010
-0.032655 0.455031
-0.025636 0.415052
-0.023499 0.371715
-0.020142 0.325938
-0.014649 0.280770
-0.014344 0.227668
-0.001831 0.186163
-0.005188 0.130619
0.002441 0.084841
0.005188 0.030519
0.011597 -0.019837
0.016480 -0.067751
0.021363 -0.118107
0.029298 -0.162358
0.026856 -0.216376
0.032350 -0.265206
0.036622 -0.314341
0.044862 -0.352794
0.043641 -0.400098
0.044557 -0.447096
0.051881 -0.484024
0.050966 -0.529496
0.060732 -0.558794
0.061953 -0.596637
0.067446 -0.626545
0.067141 -0.657674
0.067141 -0.684530
0.071413 -0.707419
0.070803 -0.732139
0.071413 -0.751061
0.069582 -0.768456
0.081179 -0.772423
0.072329 -0.791650
0.073855 -0.797449
0.071108 -0.801721
0.082095 -0.793481
0.073550 -0.795923
0.072329 -0.793176
0.073855 -0.780053
0.069582 -0.770592
0.070803 -0.754112
0.066225 -0.736412
0.064394 -0.714438
0.060121 -0.691855
0.054018 -0.668966
0.061953 -0.627461
0.048830 -0.607318
0.050966 -0.566424
0.046083 -0.532548
0.043641 -0.492874
0.039369 -0.451369
0.032655 -0.413221
0.033265 -0.360118
0.026246 -0.321055
0.021668 -0.273141
0.015259 -0.229194
0.017396 -0.175176
0.007935 -0.130009
0.002747 -0.081790
-0.003357 -0.028993
-0.008240 0.017396
-0.006409 0.073244
-0.015870 0.118412
-0.014649 0.175176
-0.021973 0.220649
-0.025636 0.267342
-0.028687 0.315561
-0.036012 0.357982
-0.038759 0.402234
-0.046388 0.442213
-0.035401 0.495621
-0.049745 0.520951
-0.051881 0.560625
-0.057985 0.593585
-0.058901 0.627155
-0.060427 0.658589
-0.063478 0.682699
-0.059816 0.715659
-0.065920 0.731529
-0.065615 0.752281
-0.069277 0.766625
-0.068361 0.779748
-0.067751 0.790735
-0.071718 0.793786
-0.065310 0.804163
-0.071413 0.796228
-0.064699 0.801721
-0.065310 0.791040
-0.063784 0.784936
-0.063173 0.774560
-0.063478 0.754723
-0.056764 0.742515
-0.058901 0.716575
-0.061037 0.685751
-0.057375 0.663472
-0.046083 0.641194
-0.045473 0.604877
-0.046083 0.563982
-0.039674 0.533464
-0.038453 0.492264
-0.030213 0.458388
-0.027772 0.412305
-0.022584 0.370190
-0.017396 0.322581
-0.015870 0.275582
-0.010376 0.230110
-0.005799 0.180364
-0.001221 0.130619
0.000916 0.079958
0.007935 0.032655
0.012207 -0.018616
0.015259 -0.068972
