# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.000000 -0.027772
-0.003357 0.031739
-0.008240 0.089114
-0.013123 0.145573
-0.018921 0.195013
-0.018921 0.243538
-0.023194 0.285348
-0.029298 0.316172
-0.029298 0.343333
-0.032655 0.359813
-0.028993 0.372631
-0.033265 0.365917
-0.032350 0.359813
-0.029603 0.341197
-0.027161 0.311899
-0.023499 0.279855
-0.017090 0.240486
-0.014039 0.193182
-0.007935 0.142216
-0.003052 0.086062
0.000610 0.030213
0.006104 -0.028077
0.016785 -0.079958
0.016785 -0.141606
0.027467 -0.186468
0.026246 -0.241401
0.032044 -0.279550
0.033265 -0.314951
0.039064 -0.339976
0.037843 -0.358592
0.038148 -0.365917
0.039064 -0.365001
0.036927 -0.354320
0.034791 -0.338450
0.031434 -0.311899
0.030213 -0.276498
0.023499 -0.235298
0.016480 -0.190741
0.016175 -0.134892
0.007630 -0.083621
0.002747 -0.024720
-0.001526 0.032655
-0.008850 0.088504
-0.012207 0.144353
-0.017396 0.195624
-0.021668 0.241707
-0.025636 0.284127
-0.029603 0.317698
-0.032960 0.342112
-0.032655 0.360729
-0.032350 0.368969
-0.031129 0.368969
-0.032350 0.358287
-0.027161 0.340281
-0.026246 0.313120
-0.021668 0.282296
-0.015870 0.242622
-0.014344 0.192877
-0.008850 0.140385
0.000610 0.090640
0.003052 0.029603
0.007935 -0.029298
0.012207 -0.088198
0.023804 -0.136418
0.021973 -0.195013
0.027467 -0.235908
0.030519 -0.281686
0.035707 -0.310373
0.038453 -0.342112
0.037843 -0.358898
0.039064 -0.366222
0.037843 -0.366222
0.037538 -0.355846
0.033570 -0.338145
0.032350 -0.311594
0.028077 -0.274972
0.023499 -0.237129
0.023804 -0.184942
0.010071 -0.140996
0.007630 -0.083010
0.002747 -0.023499
-0.003662 0.031739
-0.006409 0.089114
-0.013428 0.144047
-0.015259 0.197760
-0.021058 0.242927
-0.026551 0.283212
-0.028077 0.315867
-0.028382 0.343333
-0.034791 0.357677
-0.032960 0.368053
-0.032655 0.369579
-0.029298 0.360424
-0.029298 0.342112
-0.021973 0.317392
-0.022584 0.278939
-0.018921 0.241096
-0.014649 0.192572
-0.007630 0.142827
-0.003357 0.087283
0.004883 0.030519
0.004578 -0.032350
0.014954 -0.084536
0.016480 -0.143742
0.024110 -0.193182
0.028687 -0.238350
0.031129 -0.279550
0.033876 -0.313730
0.035707 -0.339061
0.039064 -0.358592
0.038453 -0.366222
0.038148 -0.365612
0.036927 -0.356761
0.035096 -0.339976
0.031129 -0.310373
0.025941 -0.279550
0.026551 -0.234687
0.017090 -0.190435
0.014344 -0.136113
0.006104 -0.082400
0.003052 -0.026246
-0.002747 0.034181
-0.008850 0.088504
-0.013428 0.141301
-0.018616 0.197455
-0.024110 0.241707
-0.026856 0.282296
-0.029298 0.317392
-0.030213 0.340892
-0.033265 0.358592
-0.031739 0.370800
-0.033570 0.366832
-0.030213 0.359203
-0.028077 0.342112
-0.024720 0.315867
-0.022279 0.281381
-0.018006 0.239875
-0.012207 0.194098
-0.008850 0.139164
-0.004273 0.086367
0.002747 0.028077
0.009461 -0.025941
0.013123 -0.084231
0.018311 -0.142521
0.023804 -0.192877
0.029908 -0.237434
0.030824 -0.280465
0.036622 -0.313120
0.036622 -0.340892
0.037843 -0.355235
0.036012 -0.368053
0.039674 -0.365917
0.037233 -0.355846
0.034791 -0.340281
0.030213 -0.314341
0.028687 -0.276498
0.023499 -0.237129
0.019532 -0.190435
0.012818 -0.138554
0.008240 -0.080264
0.002747 -0.026246
-0.001831 0.031739
-0.007630 0.090030
-0.012818 0.145268
-0.018006 0.195929
-0.022584 0.242927
-0.025025 0.282296
-0.031129 0.312815
-0.031129 0.342112
-0.031434 0.361339
-0.033265 0.367748
-0.031739 0.369884
-0.029603 0.359813
-0.028993 0.340892
-0.025636 0.315561
-0.022584 0.279855
-0.018616 0.238655
-0.014344 0.192877
-0.004273 0.145268
-0.003967 0.086367
0.002747 0.028382
0.008240 -0.030519
0.014954 -0.087588
0.022279 -0.137028
0.024110 -0.191961
0.028993 -0.237129
0.033265 -0.281381
0.033876 -0.312815
0.036927 -0.340587
0.039369 -0.357982
0.038148 -0.367138
0.038148 -0.366527
0.036622 -0.357372
0.033570 -0.339976
0.035401 -0.308847
0.026246 -0.279855
0.021058 -0.241096
0.016480 -0.190435
0.010376 -0.142521
0.008240 -0.081179
0.001831 -0.028382
-0.000916 0.035096
-0.007324 0.089724
-0.017396 0.138859
-0.015870 0.196539
-0.019532 0.241096
-0.025636 0.284738
-0.030824 0.312815
-0.022584 0.351573
-0.037233 0.356761
-0.030519 0.369274
-0.034791 0.365917
-0.030519 0.357067
-0.028382 0.341807
-0.027161 0.311594
-0.017396 0.285958
-0.017701 0.238960
-0.013123 0.191961
-0.009766 0.139470
-0.002747 0.086978
0.004883 0.031129
0.004883 -0.035096
0.015564 -0.083010
0.014954 -0.147404
0.026551 -0.190435
0.029908 -0.240486
0.033570 -0.279855
0.035401 -0.314341
0.037233 -0.339976
0.042726 -0.352489
0.036927 -0.368358
0.037538 -0.366222
0.033570 -0.362560
0.037843 -0.336009
0.028993 -0.314035
0.024415 -0.284738
0.023499 -0.237434
0.017090 -0.194403
0.017090 -0.135502
0.007935 -0.083316
0.005188 -0.023499
-0.002136 0.031129
-0.006714 0.090030
-0.010987 0.146489
-0.017701 0.193793
-0.022584 0.240181
-0.028687 0.278634
-0.021058 0.322886
-0.032655 0.340281
-0.032960 0.356456
-0.037233 0.365917
-0.035401 0.365612
-0.030824 0.359813
-0.030213 0.340281
-0.022584 0.318613
-0.021058 0.280160
-0.014344 0.239875
-0.012818 0.193487
-0.006409 0.140690
-0.001831 0.086062
0.000916 0.023804
0.016785 -0.020142
0.009766 -0.091250
0.019837 -0.140080
0.023499 -0.196234
0.027467 -0.242622
0.030824 -0.281381
0.036622 -0.313425
0.039979 -0.335398
0.036927 -0.360729
0.048219 -0.359203
0.037233 -0.368664
0.039064 -0.357372
0.035401 -0.337840
0.024110 -0.320750
0.032350 -0.272530
0.018311 -0.242622
0.022279 -0.186773
0.014039 -0.137333
0.009766 -0.083010
0.001221 -0.025636
-0.003357 0.029908
-0.002747 0.093387
-0.012818 0.144047
-0.017701 0.195318
-0.024415 0.239875
-0.023499 0.285348
-0.028382 0.315256
-0.033570 0.336619
-0.030519 0.359203
-0.035707 0.362255
-0.028993 0.371410
-0.030213 0.357677
-0.025941 0.342723
-0.024110 0.315561
-0.021973 0.279855
-0.016480 0.242317
-0.012818 0.191656
-0.007630 0.140996
-0.002747 0.083926
0.004578 0.030824
0.007935 -0.030519
0.013733 -0.087893
0.020753 -0.141606
0.023499 -0.193793
0.027772 -0.241096
0.030824 -0.280160
0.034791 -0.313425
0.035707 -0.341502
0.039979 -0.358898
0.039674 -0.367443
0.037843 -0.367443
0.035707 -0.357372
0.033265 -0.340587
0.031129 -0.314035
0.028077 -0.278024
0.024415 -0.236518
0.017701 -0.191351
0.014649 -0.138554
0.007935 -0.084536
0.001221 -0.028382
-0.001831 0.029908
-0.007935 0.088504
-0.014344 0.143437
-0.020142 0.193793
-0.022584 0.240791
-0.025941 0.282907
-0.028077 0.314951
-0.031434 0.342112
-0.031129 0.358898
-0.032960 0.367138
-0.033265 0.368053
-0.029298 0.359203
-0.028382 0.339976
-0.024720 0.311594
-0.024415 0.279550
-0.017396 0.238350
-0.017090 0.189520
-0.008545 0.139164
-0.000610 0.086062
0.001831 0.027467
0.007935 -0.031434
0.013733 -0.086978
0.021363 -0.143132
0.023499 -0.195318
0.025941 -0.241707
0.032960 -0.283517
0.035707 -0.314035
0.035096 -0.341502
0.039979 -0.359508
0.036622 -0.368358
0.038453 -0.367443
0.035096 -0.360424
0.035096 -0.338755
0.032044 -0.315256
0.030213 -0.278939
0.021363 -0.241707
0.021363 -0.191046
0.014649 -0.139470
0.010071 -0.083621
0.003967 -0.027772
-0.001526 0.030519
-0.008240 0.087893
-0.013123 0.142216
-0.018006 0.194098
-0.023194 0.241096
-0.027161 0.280770
-0.029298 0.313730
-0.030213 0.341197
-0.033265 0.357982
-0.030519 0.368969
-0.031434 0.367138
-0.032350 0.356456
-0.028687 0.341197
-0.025941 0.314035
-0.021973 0.278939
-0.018616 0.238044
-0.014039 0.193487
-0.008545 0.139164
-0.003357 0.083010
0.003052 0.027772
0.007324 -0.032350
0.014649 -0.087283
0.021058 -0.143132
0.024110 -0.193182
0.028382 -0.242622
0.031129 -0.281991
0.035096 -0.316782
0.037843 -0.342112
0.039674 -0.357067
0.038453 -0.368664
0.039369 -0.366222
0.039064 -0.357372
0.035401 -0.339976
0.033265 -0.312204
0.028382 -0.280160
0.023499 -0.238044
0.019837 -0.189825
0.014344 -0.140080
0.009461 -0.082705
