# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.028993 0.320750
-0.026246 0.305795
-0.024720 0.278939
-0.017701 0.244453
-0.017090 0.199591
-0.014039 0.145268
-0.007935 0.090030
-0.000610 0.027467
0.010071 -0.027772
0.014954 -0.089114
0.018921 -0.145878
0.024415 -0.196844
0.024720 -0.242927
0.033570 -0.275277
0.033265 -0.303049
0.034486 -0.317392
0.032655 -0.322886
0.037538 -0.309153
0.028382 -0.297861
0.025636 -0.270699
0.022889 -0.230110
0.017396 -0.184027
0.013123 -0.128178
0.007630 -0.069887
0.005493 -0.007630
-0.005188 0.048219
-0.010376 0.107120
-0.014649 0.166021
-0.019837 0.211493
-0.022279 0.254219
-0.025636 0.289010
-0.023194 0.314951
-0.031739 0.320444
-0.027772 0.322581
-0.026246 0.313425
-0.025636 0.286264
-0.019837 0.254524
-0.017396 0.213019
-0.007630 0.168157
-0.006104 0.111698
-0.001831 0.050966
0.004883 -0.010071
0.012513 -0.068361
0.016785 -0.127262
0.017701 -0.185553
0.024415 -0.227668
0.028993 -0.269173
0.033265 -0.295724
0.033265 -0.315256
0.036622 -0.320750
0.033570 -0.318613
0.030824 -0.306406
0.029908 -0.275887
0.025330 -0.243233
0.021058 -0.198065
0.013733 -0.150151
0.014649 -0.082705
0.001221 -0.031129
-0.004883 0.027772
-0.008850 0.088809
-0.014344 0.143132
-0.019837 0.198370
-0.021973 0.241707
-0.022279 0.281686
-0.027161 0.302744
-0.028382 0.318003
-0.026551 0.323191
-0.026856 0.315867
-0.023804 0.299692
-0.024720 0.265511
-0.015564 0.230110
-0.015870 0.177313
-0.007324 0.127567
-0.002136 0.070193
0.003967 0.010681
0.010987 -0.050661
0.014344 -0.109256
0.023804 -0.160222
0.024415 -0.213630
0.028993 -0.254219
0.031129 -0.288400
0.033265 -0.310984
0.033265 -0.321970
0.030824 -0.325022
0.032044 -0.309153
0.028993 -0.289010
0.027772 -0.252388
0.023499 -0.211493
0.019227 -0.163274
0.012207 -0.110477
0.006409 -0.051576
0.001831 0.013733
-0.006409 0.069582
-0.010376 0.128483
-0.016480 0.179754
-0.017396 0.231330
-0.024110 0.267037
-0.030824 0.291452
-0.029298 0.315561
-0.031434 0.320444
-0.030213 0.318003
-0.024720 0.304575
-0.020142 0.281686
-0.019837 0.242317
-0.014954 0.197455
-0.010376 0.147404
-0.004273 0.091556
0.002441 0.031739
0.007630 -0.028993
0.016175 -0.084841
0.015259 -0.148320
0.022889 -0.197760
0.026551 -0.241401
0.030213 -0.279855
0.032044 -0.303659
0.033570 -0.320750
0.035401 -0.320444
0.032350 -0.314341
0.028993 -0.296945
0.026246 -0.268258
0.023804 -0.228889
0.019227 -0.182195
0.010681 -0.130619
0.008240 -0.068667
0.000000 -0.012207
-0.001831 0.049135
-0.009461 0.109561
-0.015564 0.163274
-0.019532 0.212409
-0.023804 0.252693
-0.024720 0.288095
-0.033570 0.305185
-0.029603 0.320444
-0.030519 0.321970
-0.026246 0.309458
-0.024110 0.287790
-0.025025 0.251778
-0.018616 0.214240
-0.015564 0.161138
-0.006104 0.110172
0.000916 0.052187
0.006409 -0.007630
0.013733 -0.068972
0.016175 -0.129398
0.019837 -0.180975
0.024720 -0.227668
0.028077 -0.267647
0.035707 -0.291757
0.037843 -0.312815
0.037538 -0.321665
0.030213 -0.322886
0.028382 -0.306406
0.025636 -0.279550
0.027772 -0.241096
0.021668 -0.197760
0.016785 -0.144658
0.009156 -0.089419
0.002441 -0.032960
-0.002136 0.029908
-0.007935 0.089419
-0.014039 0.144963
-0.018921 0.197760
-0.017396 0.246895
-0.027161 0.275277
-0.028077 0.301828
-0.026246 0.318308
-0.030213 0.321665
-0.026551 0.317698
-0.025941 0.295114
-0.019532 0.271004
-0.018006 0.227363
-0.012818 0.181890
-0.007324 0.129398
