# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.034791 -0.435194
0.032350 -0.411389
0.029298 -0.379955
0.028077 -0.351573
0.025330 -0.321055
0.022279 -0.292367
0.020142 -0.263680
0.018311 -0.234687
0.016785 -0.202643
0.012207 -0.172735
0.008545 -0.141301
0.005493 -0.111393
0.002441 -0.079958
-0.000610 -0.047304
-0.001221 -0.014954
-0.005188 0.013733
-0.007324 0.047609
-0.009766 0.078433
-0.012513 0.108951
-0.016480 0.139775
-0.017090 0.170904
-0.019837 0.200812
-0.022584 0.229499
-0.026246 0.263070
-0.028077 0.292367
-0.032960 0.319529
-0.030824 0.353099
-0.035707 0.377209
-0.036317 0.406201
-0.039979 0.434584
-0.042726 0.459609
-0.043641 0.484329
-0.044862 0.511490
-0.046999 0.534989
-0.052187 0.557878
-0.052187 0.581683
-0.054628 0.603046
-0.054323 0.626240
-0.057375 0.645772
-0.060427 0.663472
-0.058596 0.682699
-0.062258 0.700400
-0.063784 0.715964
-0.062868 0.733360
-0.064394 0.748619
-0.064394 0.762658
-0.065310 0.773949
-0.067751 0.787683
-0.068056 0.796228
-0.067446 0.804468
-0.070193 0.810572
-0.069887 0.820643
-0.069887 0.825526
-0.068972 0.828578
-0.067446 0.833155
-0.069582 0.835292
-0.068361 0.838038
-0.070193 0.836512
-0.069582 0.833766
-0.067446 0.832240
-0.066836 0.829493
-0.069582 0.819422
-0.065615 0.817286
-0.065004 0.811182
-0.065004 0.801416
-0.062563 0.792566
-0.062258 0.779748
-0.062868 0.767541
-0.056764 0.756249
-0.056764 0.740074
-0.056154 0.726951
-0.055239 0.709861
-0.054628 0.692770
-0.051576 0.675375
-0.049135 0.657979
-0.048219 0.634480
-0.046083 0.614338
-0.040895 0.592975
-0.041505 0.568865
-0.037233 0.546892
-0.037538 0.521867
-0.033876 0.496536
-0.032960 0.470290
-0.028687 0.445875
-0.028382 0.419935
-0.024415 0.392468
-0.021668 0.363475
-0.018616 0.335704
-0.017701 0.304880
-0.014344 0.277413
-0.010681 0.247810
-0.010071 0.217292
-0.008545 0.183721
-0.003052 0.155339
-0.000610 0.123905
0.003052 0.095218
0.004578 0.061647
0.008545 0.028382
0.009461 -0.000610
0.012207 -0.032044
0.017701 -0.064089
0.018616 -0.094913
0.021668 -0.126041
0.022889 -0.157476
0.028077 -0.189215
0.028687 -0.220038
0.030213 -0.252083
0.037538 -0.278024
0.037843 -0.308847
0.040284 -0.338145
0.040590 -0.365001
0.042726 -0.394299
0.046388 -0.422071
0.049135 -0.448927
0.048524 -0.473952
0.053713 -0.501114
0.055239 -0.525834
0.057680 -0.549333
0.058290 -0.571917
0.059816 -0.593890
0.062258 -0.615864
0.064089 -0.637837
0.064089 -0.655843
0.066530 -0.675069
0.067446 -0.693381
0.073244 -0.707114
0.072634 -0.725425
0.072024 -0.740989
0.071108 -0.754418
0.074770 -0.768456
0.074160 -0.779443
0.073855 -0.790735
0.073550 -0.799280
0.077822 -0.807825
0.077212 -0.814234
0.075991 -0.820338
0.077822 -0.825526
0.078738 -0.830409
0.076601 -0.833766
0.075991 -0.834071
0.075991 -0.834986
0.074160 -0.833155
0.075381 -0.831629
0.075686 -0.827357
0.073244 -0.824305
0.068056 -0.822474
0.072024 -0.811487
0.072024 -0.799585
0.072024 -0.790735
0.070803 -0.781579
0.068667 -0.769982
0.065310 -0.758080
0.066225 -0.744957
0.064089 -0.729392
0.062563 -0.711692
0.060121 -0.695822
0.054933 -0.682089
0.055544 -0.659200
0.054323 -0.641194
0.049135 -0.623493
0.051576 -0.597247
0.051271 -0.574664
0.046388 -0.551164
0.046999 -0.527970
0.042421 -0.503555
0.041810 -0.478225
0.035707 -0.452284
0.033265 -0.426649
0.032655 -0.397656
0.030519 -0.370495
0.026856 -0.342723
0.025636 -0.312815
0.021363 -0.283517
0.018311 -0.252693
0.016480 -0.223090
0.014344 -0.193182
0.010987 -0.161443
0.007630 -0.131230
0.005799 -0.101016
0.000610 -0.069582
0.000000 -0.036927
-0.001526 -0.006409
-0.005493 0.028077
