# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.021058 0.215461
-0.028993 0.290536
-0.031739 0.345470
-0.035096 0.379345
-0.037233 0.390027
-0.031434 0.380871
-0.033265 0.335093
-0.022279 0.278939
-0.015870 0.200507
-0.008545 0.109867
0.001526 0.016175
0.012207 -0.080569
0.021668 -0.172735
0.027772 -0.252693
0.033876 -0.320444
0.038148 -0.362560
0.041810 -0.386670
0.040284 -0.384533
0.035096 -0.360424
0.035096 -0.306406
0.021668 -0.245064
0.015259 -0.158391
0.008240 -0.063173
-0.001526 0.031129
-0.012513 0.128178
-0.020447 0.213935
-0.025025 0.290841
-0.033570 0.344859
-0.035401 0.379040
-0.037538 0.388806
-0.032960 0.375072
-0.031129 0.336619
-0.028077 0.271920
-0.015564 0.201727
-0.013123 0.106510
0.002441 0.016785
0.012818 -0.082400
0.021363 -0.173345
0.028993 -0.255440
0.033265 -0.319834
0.040284 -0.362560
0.039369 -0.388195
0.039979 -0.385754
0.036927 -0.360118
0.037538 -0.303964
0.023194 -0.242927
0.014039 -0.159001
0.004883 -0.066225
-0.006409 0.028993
-0.013123 0.126957
-0.020142 0.215461
-0.025636 0.289926
-0.033265 0.344554
-0.036317 0.376598
-0.034791 0.390027
-0.035096 0.373547
-0.028687 0.337840
-0.025636 0.275277
-0.016480 0.200812
-0.010071 0.109561
0.001221 0.014649
0.012818 -0.083316
0.019227 -0.176397
0.024720 -0.256966
0.034486 -0.321055
0.041505 -0.361034
0.040590 -0.387280
0.041200 -0.385144
0.038453 -0.357982
0.031434 -0.308237
0.025636 -0.241707
0.012207 -0.161748
0.009156 -0.061037
-0.004273 0.029603
-0.010987 0.130619
-0.019837 0.215766
-0.026856 0.288705
-0.033265 0.342723
-0.035707 0.379040
-0.033570 0.392468
-0.034791 0.374157
-0.031129 0.337535
-0.024720 0.276193
-0.014954 0.203864
-0.007935 0.110172
-0.000610 0.014954
0.010376 -0.081179
0.017701 -0.177313
0.029908 -0.254219
0.035707 -0.317392
0.042726 -0.363170
0.042116 -0.385144
0.040284 -0.383618
0.038148 -0.357982
0.031434 -0.310678
0.024720 -0.240181
0.012818 -0.161443
0.011597 -0.061037
-0.005188 0.034181
-0.015259 0.125736
-0.021363 0.214240
-0.028687 0.288095
-0.032960 0.345164
-0.035401 0.379650
-0.035401 0.390027
-0.034791 0.374462
-0.031434 0.337230
-0.022584 0.275582
-0.017090 0.201422
-0.007630 0.111087
0.000610 0.014344
0.011597 -0.080874
0.018921 -0.173956
0.028993 -0.254830
0.036927 -0.318003
0.039674 -0.366222
0.041505 -0.386670
0.038453 -0.384228
0.039369 -0.356456
0.032655 -0.309763
0.023499 -0.241401
0.014954 -0.156865
0.005799 -0.062868
-0.003052 0.034486
-0.014039 0.124821
-0.021363 0.215461
-0.031739 0.286569
-0.031129 0.346690
-0.034791 0.379040
-0.035707 0.388195
-0.033570 0.375072
-0.031434 0.337230
-0.023194 0.280160
-0.015259 0.200201
-0.009461 0.111087
0.003662 0.014344
0.015259 -0.078738
0.020142 -0.173345
0.025941 -0.257881
0.032960 -0.320444
0.036927 -0.365917
0.039674 -0.387585
0.040590 -0.385144
0.039064 -0.356761
0.032655 -0.307627
0.029908 -0.235908
0.015259 -0.158391
0.007324 -0.064394
-0.001526 0.032655
-0.012207 0.129398
-0.021668 0.215461
-0.027161 0.286874
-0.033265 0.343333
-0.036927 0.379040
-0.037538 0.387585
-0.036317 0.374157
-0.030519 0.335398
-0.023804 0.278024
-0.016480 0.200507
-0.008240 0.112308
0.002441 0.015870
0.010681 -0.080264
0.020753 -0.173345
0.025941 -0.255440
0.036927 -0.318613
0.039369 -0.365917
0.040590 -0.385144
0.040590 -0.382092
0.036012 -0.357372
0.032044 -0.309153
0.024110 -0.241096
0.019227 -0.153508
0.007019 -0.064089
-0.003967 0.032960
-0.011292 0.128178
-0.019532 0.216376
-0.030213 0.290536
-0.036317 0.341807
-0.033265 0.381787
-0.040284 0.387280
-0.033570 0.374157
-0.031739 0.335704
-0.022279 0.279244
-0.015870 0.202338
-0.009766 0.110172
0.003357 0.018311
0.013123 -0.079653
0.023194 -0.173345
0.029298 -0.251778
0.040284 -0.315561
0.037843 -0.363475
0.040284 -0.387890
0.039979 -0.383007
0.034791 -0.359203
0.031434 -0.309153
0.023804 -0.240791
0.017090 -0.155339
0.005799 -0.064699
-0.003662 0.032655
-0.013428 0.129704
-0.021058 0.216071
-0.027161 0.290536
-0.035096 0.344859
-0.034181 0.380566
-0.038759 0.388501
-0.036012 0.374767
-0.030213 0.338145
-0.026551 0.276498
-0.017090 0.200201
-0.008240 0.111698
0.003052 0.016785
0.009461 -0.080264
0.022279 -0.173345
0.028687 -0.254830
0.035096 -0.320444
0.039369 -0.364086
0.039979 -0.387280
0.038453 -0.383312
0.035707 -0.358898
0.031434 -0.308847
0.026856 -0.240486
0.015259 -0.158391
0.007019 -0.063784
-0.001831 0.032350
-0.012818 0.130009
-0.020447 0.215155
-0.026856 0.289926
-0.033876 0.344859
-0.035096 0.378735
-0.037538 0.390027
-0.037233 0.372936
-0.030824 0.335093
-0.023499 0.278024
-0.017701 0.202033
-0.006104 0.112003
0.001221 0.016175
0.011597 -0.081790
0.021668 -0.172430
0.028382 -0.253914
0.035096 -0.318308
0.038148 -0.365612
0.040284 -0.387890
0.044557 -0.379345
0.034486 -0.362560
0.030824 -0.310678
0.021668 -0.244148
0.014649 -0.159917
0.005799 -0.062868
-0.004883 0.033265
-0.008240 0.131535
