# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.007630 -0.141606
0.000916 -0.055239
-0.004883 0.028077
-0.014039 0.113224
-0.022584 0.194708
-0.030824 0.273446
-0.036317 0.353099
-0.043947 0.424818
-0.048524 0.492569
-0.055239 0.552690
-0.053102 0.612812
-0.062868 0.654622
-0.066530 0.693381
-0.068361 0.727256
-0.070193 0.747398
-0.068972 0.765099
-0.069277 0.770287
-0.067751 0.764183
-0.065615 0.749840
-0.062868 0.729087
-0.057985 0.693686
-0.056154 0.654622
-0.049135 0.607318
-0.044557 0.550249
-0.034791 0.489822
-0.031434 0.419630
-0.024720 0.344859
-0.015564 0.268258
-0.008850 0.186468
-0.000916 0.105899
0.007324 0.021363
0.017701 -0.061037
0.023499 -0.145878
0.031434 -0.226142
0.039064 -0.308847
0.046388 -0.383312
0.052492 -0.453505
0.049440 -0.524613
0.058901 -0.578021
0.063478 -0.633259
0.070803 -0.673238
0.073550 -0.709861
0.075686 -0.739158
0.074160 -0.757164
0.074770 -0.767541
0.075381 -0.765709
0.071413 -0.759301
0.070193 -0.740989
0.066530 -0.714438
0.067141 -0.673238
0.056154 -0.634175
0.050356 -0.586566
0.044862 -0.523698
0.036622 -0.462050
0.030824 -0.390027
0.023804 -0.314951
0.017090 -0.234077
0.008545 -0.153203
0.003967 -0.068361
-0.007630 0.014954
-0.015564 0.099185
-0.023804 0.181585
-0.030213 0.262764
-0.036317 0.341807
-0.041810 0.412915
-0.049135 0.481582
-0.052797 0.546281
-0.058901 0.599994
-0.062258 0.650960
-0.065310 0.693991
-0.066836 0.724815
-0.069277 0.747093
-0.070193 0.763268
-0.070193 0.767846
-0.067446 0.766625
-0.065310 0.752586
-0.064394 0.728172
-0.058901 0.701621
-0.056154 0.659505
-0.050661 0.612507
-0.044252 0.560015
-0.036012 0.498062
-0.030213 0.431837
-0.025025 0.357067
-0.018616 0.280770
-0.009461 0.199591
-0.001831 0.119327
0.005799 0.034181
0.014344 -0.050661
0.021058 -0.134892
0.026856 -0.218818
0.035401 -0.296335
0.043947 -0.372326
0.049135 -0.441908
0.054933 -0.509659
0.061953 -0.567949
0.066225 -0.621357
0.067446 -0.670492
0.070193 -0.705893
0.071108 -0.737022
0.074160 -0.754723
0.074465 -0.765709
0.073855 -0.769372
0.071718 -0.760216
0.072024 -0.742210
0.068667 -0.716575
0.062563 -0.683920
0.056459 -0.640889
0.052492 -0.589923
0.046999 -0.533464
0.039979 -0.467544
0.033570 -0.397961
0.026551 -0.324717
0.018921 -0.243843
0.010987 -0.164190
-0.001526 -0.086367
-0.004273 0.004578
-0.015564 0.083316
-0.020447 0.173650
-0.026551 0.251778
-0.031434 0.331736
-0.043947 0.401318
-0.046388 0.473647
-0.051881 0.539567
-0.059816 0.592059
-0.062868 0.643635
-0.066836 0.684225
-0.063173 0.725425
-0.070193 0.743431
-0.073855 0.756554
-0.072939 0.765709
-0.071108 0.764183
-0.065615 0.756554
-0.064394 0.736106
-0.055239 0.708640
-0.055849 0.667745
-0.052797 0.618305
-0.046693 0.566424
-0.041505 0.507218
-0.033876 0.444655
-0.028382 0.365307
-0.011292 0.299997
-0.014649 0.210578
-0.000610 0.130314
0.000916 0.043947
0.011597 -0.039064
0.021973 -0.121158
0.026246 -0.206915
0.031434 -0.287790
0.041810 -0.361644
0.048524 -0.430616
0.054933 -0.500809
0.059511 -0.560625
0.064089 -0.612812
0.064394 -0.668355
0.074160 -0.694296
0.068056 -0.734886
0.076601 -0.749535
0.075686 -0.764489
0.076296 -0.765404
0.073244 -0.760826
0.068667 -0.748009
0.068056 -0.717795
0.062563 -0.688803
0.058596 -0.645772
0.048830 -0.600299
0.050356 -0.537126
0.037538 -0.480361
0.032655 -0.411695
0.025330 -0.334483
0.015564 -0.259713
0.014344 -0.172430
0.002747 -0.092776
-0.001221 -0.003662
-0.010376 0.077822
-0.018616 0.161443
-0.024720 0.243233
-0.035401 0.321360
-0.040284 0.394910
-0.050966 0.461745
-0.044557 0.537431
-0.060732 0.581988
-0.060427 0.636921
-0.065920 0.679342
-0.067446 0.715964
-0.067751 0.742515
-0.072329 0.759911
-0.067446 0.772423
-0.067751 0.768761
-0.067751 0.758690
-0.064699 0.740379
-0.060732 0.711386
-0.056459 0.674459
-0.055849 0.625019
-0.042421 0.581988
-0.043641 0.514237
-0.030824 0.452284
-0.026246 0.378430
-0.017396 0.305795
-0.010376 0.225837
-0.005799 0.140690
0.007324 0.062868
0.011597 -0.025330
0.018311 -0.112308
0.025941 -0.191351
0.036012 -0.270394
0.040284 -0.349132
0.043641 -0.428785
0.053102 -0.488296
0.054018 -0.555742
0.067751 -0.603656
0.068667 -0.655538
0.073550 -0.691549
0.075686 -0.727866
0.074160 -0.750450
0.076296 -0.760216
0.074160 -0.768151
0.074160 -0.763573
0.069582 -0.750145
0.073550 -0.719932
0.061647 -0.695822
0.060121 -0.654622
0.052797 -0.606098
0.048219 -0.548723
0.040284 -0.487991
0.034791 -0.417798
0.027772 -0.343638
0.021668 -0.266732
0.013123 -0.186468
0.004578 -0.103153
-0.003662 -0.020142
-0.010376 0.065310
-0.020447 0.148320
-0.024720 0.229499
-0.033876 0.306711
-0.039979 0.385754
-0.046693 0.453810
-0.053102 0.517594
-0.055849 0.578936
-0.059206 0.631733
-0.065310 0.674459
-0.068361 0.711997
-0.068056 0.739464
-0.070193 0.758995
-0.068056 0.769677
-0.069582 0.768151
-0.069277 0.759606
-0.065615 0.740989
-0.059816 0.715354
-0.058596 0.680563
-0.054018 0.635090
-0.048524 0.584735
-0.041810 0.524613
-0.035096 0.460219
-0.030213 0.388806
-0.020142 0.315867
-0.013428 0.237129
-0.005188 0.155339
0.003052 0.071413
0.003967 -0.017396
0.019532 -0.095828
0.026246 -0.181585
0.032655 -0.261849
0.039674 -0.337840
0.046388 -0.411695
0.053713 -0.481277
0.060732 -0.542924
0.061953 -0.599078
0.065615 -0.649129
0.071108 -0.689413
0.069582 -0.722983
0.072329 -0.746178
0.074160 -0.762963
0.074465 -0.768151
0.072024 -0.764183
0.071108 -0.751671
0.068056 -0.728172
0.064394 -0.697958
0.058290 -0.659505
0.056459 -0.610370
0.048219 -0.557268
0.043641 -0.495926
0.036622 -0.427564
0.026856 -0.356761
0.021973 -0.278939
0.011597 -0.199591
0.007019 -0.116276
-0.003052 -0.033570
-0.008850 0.054628
-0.019227 0.137028
-0.025025 0.217902
-0.031434 0.299081
-0.039979 0.372021
-0.045167 0.444044
-0.050661 0.510269
-0.056764 0.570391
-0.060121 0.623798
-0.064394 0.670186
-0.065920 0.705588
-0.068361 0.735496
-0.070193 0.756249
-0.070193 0.767541
-0.069887 0.769677
-0.067446 0.762963
-0.065004 0.744652
-0.060732 0.722068
-0.058901 0.684835
-0.054018 0.642109
-0.049135 0.593280
-0.042116 0.534379
-0.037233 0.469069
-0.025025 0.404370
-0.020447 0.326243
-0.014344 0.247200
-0.007630 0.166631
0.001526 0.083316
0.009461 -0.000916
0.017090 -0.086367
0.025941 -0.168462
0.032350 -0.248115
0.038148 -0.328074
0.047914 -0.401929
0.052797 -0.472121
0.057070 -0.535295
0.061037 -0.593585
0.064699 -0.642415
0.067446 -0.684835
0.071108 -0.718406
0.074160 -0.744041
0.073855 -0.761742
0.072024 -0.769372
0.072329 -0.765709
0.070193 -0.754418
0.068972 -0.733970
0.064394 -0.703146
0.060732 -0.666219
0.054933 -0.619526
0.047914 -0.568560
0.043947 -0.504471
0.037538 -0.437941
0.030519 -0.365612
0.022889 -0.289315
0.014039 -0.209967
0.007019 -0.127567
-0.001526 -0.042116
-0.008545 0.039979
-0.016480 0.126347
-0.023499 0.207221
-0.031434 0.287790
-0.038759 0.363170
-0.043031 0.434584
-0.051271 0.501114
-0.054018 0.562761
-0.062258 0.616779
-0.062563 0.662557
-0.068972 0.700095
-0.069887 0.731223
-0.071413 0.754723
-0.070498 0.764489
-0.069277 0.769677
-0.067446 0.763573
-0.066530 0.746178
-0.063478 0.721458
-0.058290 0.691549
-0.054018 0.649739
-0.050661 0.599078
-0.046693 0.539872
-0.037233 0.480361
-0.032350 0.410474
-0.021973 0.338755
-0.015259 0.258797
-0.009766 0.177923
0.000610 0.091556
0.008545 0.010681
0.018311 -0.073855
0.023804 -0.157476
0.029908 -0.239265
0.043641 -0.314341
0.043947 -0.390637
0.050356 -0.462355
0.057070 -0.525529
0.060121 -0.585955
0.066530 -0.636921
0.069887 -0.678426
0.071718 -0.714743
0.072634 -0.740989
0.073550 -0.758995
0.073855 -0.767541
0.069582 -0.768151
0.071413 -0.756249
0.068056 -0.737022
0.066836 -0.709555
0.061037 -0.671407
0.056459 -0.625324
0.050661 -0.573748
0.044862 -0.513016
0.037843 -0.447401
0.029908 -0.376904
0.022889 -0.302438
0.018616 -0.220954
0.007630 -0.140690
0.000000 -0.056459
-0.008545 0.028077
-0.017090 0.112308
-0.023194 0.195624
-0.031434 0.275582
-0.038148 0.352489
-0.042421 0.424512
-0.049135 0.492874
-0.054018 0.552690
-0.059816 0.608844
-0.059206 0.658895
-0.065920 0.695822
-0.069582 0.728782
-0.068056 0.750755
-0.067141 0.765404
-0.071413 0.768761
-0.068361 0.765709
-0.068056 0.751366
-0.063478 0.728172
-0.060121 0.695212
-0.053713 0.655538
-0.047609 0.606098
-0.044557 0.550554
-0.039369 0.488296
-0.032350 0.422071
-0.023194 0.348521
-0.017090 0.271004
-0.008850 0.190435
-0.001221 0.105899
0.007630 0.021668
0.015564 -0.061647
0.022889 -0.144658
0.029298 -0.229804
0.037843 -0.306711
0.041505 -0.383312
0.048219 -0.454726
0.056459 -0.516373
0.060427 -0.577410
0.064699 -0.628376
0.068972 -0.672933
0.069582 -0.711692
0.071718 -0.738243
0.072634 -0.758690
0.074160 -0.766015
0.074160 -0.766320
0.072329 -0.758690
0.069277 -0.740684
0.064699 -0.714438
0.061953 -0.676290
0.057680 -0.632954
0.050966 -0.581378
0.044252 -0.524613
0.037843 -0.460524
0.032044 -0.386670
