# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.011902 0.087283
-0.008545 0.157476
-0.017396 0.194708
-0.017090 0.223090
-0.016480 0.229804
-0.017090 0.207831
-0.014344 0.170598
-0.008545 0.116276
0.000916 0.053713
0.005799 -0.022584
0.013733 -0.090030
0.016785 -0.149846
0.023194 -0.192877
0.023499 -0.222175
0.020753 -0.229194
0.021058 -0.206610
0.016480 -0.171819
0.014039 -0.112308
0.007019 -0.047304
0.000305 0.023804
-0.006104 0.092471
-0.012818 0.152593
-0.015870 0.201422
-0.018616 0.224311
-0.018921 0.227058
-0.018921 0.206305
-0.007324 0.175481
-0.009766 0.114444
-0.001221 0.049440
0.007019 -0.022279
0.012207 -0.091556
0.016785 -0.148625
0.021363 -0.195929
0.024110 -0.220649
0.023499 -0.224616
0.021363 -0.206305
0.018311 -0.168157
0.011902 -0.112613
0.007935 -0.046999
-0.002747 0.020753
-0.002747 0.098270
-0.017090 0.148930
-0.014954 0.197455
-0.018921 0.222175
-0.018006 0.227363
-0.014344 0.213630
-0.012818 0.168462
-0.004273 0.118412
-0.002747 0.046999
0.005799 -0.022279
0.012513 -0.091250
0.020142 -0.148625
0.021058 -0.194403
0.021668 -0.224616
0.025636 -0.222785
0.020753 -0.209662
0.014954 -0.173040
0.015259 -0.113529
0.005799 -0.045778
0.000305 0.025330
-0.007935 0.093692
-0.011292 0.156865
-0.015564 0.198065
-0.019227 0.222785
-0.021058 0.226447
-0.014039 0.214545
-0.013123 0.168767
-0.005188 0.114750
-0.001526 0.048524
0.005799 -0.021668
0.010071 -0.092166
0.017090 -0.150761
0.021363 -0.195624
0.024720 -0.221259
0.023499 -0.223701
0.022889 -0.204169
0.018921 -0.166326
0.012513 -0.114139
0.005493 -0.048219
0.005799 0.029908
-0.008850 0.089419
-0.012513 0.152898
-0.014039 0.199896
-0.018921 0.224311
-0.019227 0.228889
-0.015870 0.208747
-0.010681 0.171209
-0.007935 0.117191
-0.003052 0.050966
0.005799 -0.020142
0.012513 -0.090945
0.018921 -0.149846
0.018921 -0.198065
0.026856 -0.217902
0.023804 -0.225532
0.021363 -0.206610
0.020142 -0.167241
0.012513 -0.112308
0.005799 -0.046388
-0.000916 0.024415
-0.005493 0.096744
-0.011902 0.154424
-0.015259 0.199286
-0.021363 0.222175
-0.015564 0.230110
-0.017090 0.207831
-0.014649 0.170598
-0.008545 0.114139
-0.004883 0.048830
0.005188 -0.020142
0.011902 -0.090030
0.018921 -0.148015
0.020753 -0.193487
0.024415 -0.220344
0.026856 -0.220954
0.021668 -0.206610
0.017396 -0.167852
0.009156 -0.115055
0.010987 -0.040284
-0.003052 0.023194
-0.005188 0.094302
-0.013123 0.155034
-0.015564 0.198675
-0.015564 0.225837
-0.017090 0.227973
-0.015870 0.211188
-0.011292 0.169073
-0.006104 0.115970
-0.002747 0.051271
0.003662 -0.019837
0.012513 -0.089419
0.013733 -0.153203
0.024110 -0.191961
0.021668 -0.225532
0.024720 -0.220954
0.023499 -0.205084
0.018311 -0.167852
0.010987 -0.113834
0.005188 -0.046999
-0.001221 0.026246
-0.007935 0.091861
-0.012207 0.152593
-0.016480 0.198065
-0.017090 0.224311
-0.017090 0.229499
-0.018006 0.208441
-0.013428 0.170904
-0.009461 0.114750
-0.001831 0.050966
0.007019 -0.020142
0.012818 -0.090030
0.018311 -0.148625
0.019837 -0.193182
0.025941 -0.216681
0.023194 -0.223395
0.021363 -0.205084
0.017396 -0.168767
0.016785 -0.107120
0.005799 -0.047304
0.001221 0.026246
-0.012207 0.090030
-0.014649 0.154118
-0.018616 0.197760
-0.020447 0.221259
-0.019227 0.229194
-0.017090 0.210883
-0.012818 0.171514
-0.005493 0.117801
-0.001221 0.050661
0.006104 -0.020142
0.010376 -0.091861
0.017701 -0.146184
0.020142 -0.195929
0.025941 -0.218513
0.023499 -0.223395
0.021668 -0.205695
0.018311 -0.168767
0.012513 -0.112613
0.007324 -0.044252
-0.000916 0.025636
-0.007935 0.093692
-0.012513 0.155644
-0.015564 0.199896
-0.018921 0.223090
-0.022279 0.225532
-0.015564 0.213935
-0.014649 0.169988
-0.007324 0.117191
-0.002747 0.052797
0.005493 -0.019532
0.014344 -0.089419
0.018311 -0.148320
0.022889 -0.191351
0.023194 -0.220038
0.022889 -0.223395
0.021363 -0.206610
0.021058 -0.164800
0.009461 -0.113529
0.008240 -0.044252
-0.000916 0.025941
