# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.051881 -0.487686
0.046999 -0.459304
0.044557 -0.405591
0.036012 -0.339061
0.024720 -0.252083
0.014954 -0.155034
0.003357 -0.047304
-0.006409 0.059816
-0.017701 0.166631
-0.026551 0.263680
-0.033876 0.349742
-0.044557 0.412305
-0.046083 0.462966
-0.051271 0.486770
-0.047609 0.493789
-0.044862 0.469375
-0.039369 0.426954
-0.033570 0.360729
-0.024415 0.277413
-0.011292 0.186163
-0.003052 0.079958
0.007630 -0.029298
0.016175 -0.138859
0.033876 -0.231635
0.036622 -0.327769
0.046693 -0.395825
0.047914 -0.453810
0.051881 -0.482498
0.051881 -0.494095
0.048524 -0.479141
0.048830 -0.438551
0.039064 -0.379955
0.031434 -0.303964
0.021668 -0.209967
0.010987 -0.108951
-0.000916 0.000000
-0.015259 0.102542
-0.019532 0.213630
-0.034791 0.298166
-0.037843 0.380566
-0.044252 0.439161
-0.047304 0.478530
-0.047609 0.494400
-0.047304 0.484329
-0.040284 0.456557
-0.035707 0.400708
-0.028382 0.328379
-0.019837 0.238655
-0.006714 0.142827
0.001526 0.031739
0.009766 -0.078433
0.021058 -0.178533
0.028993 -0.278329
0.042726 -0.356761
0.048830 -0.422071
0.050661 -0.467238
0.054018 -0.490432
0.050356 -0.493179
0.050661 -0.460524
0.041505 -0.417188
0.036012 -0.348827
0.022279 -0.267342
0.020753 -0.161748
0.002747 -0.064699
-0.010376 0.039979
-0.015870 0.152287
-0.026551 0.249336
-0.034791 0.336009
-0.040895 0.408338
-0.044252 0.461135
-0.046693 0.487381
-0.046388 0.494400
-0.044862 0.476699
-0.040895 0.433058
-0.032960 0.372021
-0.024415 0.294198
-0.009766 0.202033
-0.006714 0.090640
0.007324 -0.012818
0.019227 -0.122074
0.028077 -0.221564
0.035401 -0.312204
0.042726 -0.388501
0.049135 -0.442824
0.052797 -0.480361
0.051881 -0.493179
0.048219 -0.480667
0.048524 -0.443434
0.039064 -0.390332
0.032350 -0.317698
0.021668 -0.224616
0.007935 -0.123905
0.000916 -0.014954
-0.009461 0.091556
-0.017701 0.195624
-0.030213 0.292367
-0.037233 0.367748
