# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.060427 0.645772
-0.063173 0.684225
-0.065004 0.715659
-0.067141 0.740989
-0.069277 0.759606
-0.070498 0.768151
-0.066836 0.781274
-0.071718 0.771813
-0.067141 0.768456
-0.063784 0.752892
-0.058290 0.731223
-0.058290 0.700400
-0.054018 0.665609
-0.049440 0.625935
-0.044862 0.578326
-0.040284 0.527970
-0.036927 0.470290
-0.026246 0.415052
-0.023499 0.347606
-0.016785 0.279550
-0.010681 0.212104
-0.006409 0.138249
0.003357 0.064699
0.010987 -0.005799
0.018616 -0.077517
0.024720 -0.148320
0.031129 -0.219428
0.036622 -0.289010
0.043641 -0.356151
0.048524 -0.419935
0.051881 -0.482498
0.064699 -0.529496
0.059816 -0.587176
0.066836 -0.627155
0.066836 -0.670797
0.069887 -0.702536
0.071108 -0.731529
0.072634 -0.753197
0.078127 -0.762963
0.076296 -0.774255
0.074770 -0.774255
0.073550 -0.766015
0.071413 -0.754418
0.067446 -0.734275
0.062563 -0.709861
0.064089 -0.672628
0.057070 -0.637226
0.052797 -0.589923
0.047304 -0.541398
0.043641 -0.487381
0.037233 -0.428480
0.030519 -0.366527
0.026551 -0.296030
0.017090 -0.231330
0.012513 -0.157170
0.004578 -0.089114
0.000305 -0.010987
-0.011292 0.057985
-0.015870 0.128483
-0.021668 0.201727
-0.028993 0.271920
-0.035401 0.338145
-0.038759 0.403760
-0.042116 0.465102
-0.048830 0.518509
-0.053713 0.571307
-0.058596 0.618915
-0.062563 0.657979
-0.064394 0.695822
-0.065310 0.724509
-0.067141 0.751366
-0.069582 0.762658
-0.068056 0.774255
-0.067751 0.777001
-0.066530 0.774255
-0.067446 0.762658
-0.061953 0.743736
-0.059816 0.720847
-0.057985 0.686972
-0.051576 0.651875
-0.051271 0.607318
-0.041810 0.564592
-0.038148 0.508133
-0.033570 0.450453
-0.027772 0.390332
-0.024110 0.321970
-0.014344 0.256966
-0.006409 0.188299
0.000000 0.116581
0.006104 0.045778
0.013123 -0.030824
0.023499 -0.098575
0.026246 -0.173345
0.032655 -0.244148
0.036927 -0.315867
0.047914 -0.375988
0.047914 -0.442518
0.055239 -0.497757
0.058290 -0.552690
0.061037 -0.600909
0.066530 -0.644551
0.067446 -0.680868
0.073244 -0.711081
0.073244 -0.738853
0.075991 -0.756249
0.074770 -0.769372
0.074770 -0.773644
0.072634 -0.772729
0.072329 -0.764794
0.071718 -0.747703
0.068667 -0.726341
0.062563 -0.698569
0.062563 -0.662862
0.057070 -0.621967
0.049745 -0.575274
0.046083 -0.523087
0.042421 -0.464492
0.034791 -0.407117
0.027772 -0.343028
0.019837 -0.279244
0.018311 -0.200812
0.008240 -0.134587
0.002747 -0.061647
-0.004883 0.007935
-0.011292 0.082705
-0.019532 0.153508
-0.023804 0.226753
-0.030213 0.294198
-0.036317 0.358592
-0.042116 0.422681
-0.046693 0.480667
-0.050661 0.537431
-0.055849 0.587176
-0.059206 0.631733
-0.059206 0.673544
-0.065004 0.704367
-0.067141 0.732749
-0.065920 0.755333
-0.066530 0.769066
-0.068056 0.775475
-0.067751 0.778527
-0.065615 0.770287
