# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.025636 -0.196234
0.033265 -0.254219
0.038148 -0.310373
0.041505 -0.367443
0.045167 -0.420240
0.044862 -0.478225
0.053407 -0.519425
0.058901 -0.563066
0.062258 -0.607013
0.065615 -0.642109
0.066225 -0.675375
0.069887 -0.705588
0.070803 -0.729392
0.073244 -0.748314
0.074160 -0.766015
0.074160 -0.775780
0.074160 -0.783715
0.071718 -0.785852
0.073244 -0.782495
0.072329 -0.773644
0.068667 -0.759606
0.064089 -0.743431
0.064699 -0.719321
0.061647 -0.693075
0.059511 -0.660726
0.055849 -0.625324
0.051271 -0.585955
0.046083 -0.545366
0.041810 -0.498367
0.039369 -0.448927
0.033265 -0.397961
0.023194 -0.347911
0.021973 -0.286874
0.016175 -0.225532
0.010376 -0.168157
0.003357 -0.106815
0.000000 -0.045778
-0.005799 0.016175
-0.012513 0.078433
-0.017396 0.138859
-0.020447 0.199591
-0.028382 0.255135
-0.032350 0.313120
-0.038148 0.370190
-0.043031 0.422376
-0.046999 0.473952
-0.051576 0.521867
-0.053102 0.564287
-0.056764 0.605487
-0.061037 0.644551
-0.063173 0.678426
-0.067446 0.706504
-0.067141 0.731529
-0.068056 0.751976
-0.069887 0.768456
-0.071413 0.778832
-0.069277 0.784326
-0.070193 0.785852
-0.068056 0.782189
-0.067141 0.775475
-0.064394 0.762658
-0.062563 0.744957
-0.059206 0.722068
-0.058901 0.695822
-0.054018 0.664083
-0.051576 0.628681
-0.046083 0.589007
-0.044557 0.547197
-0.037538 0.502029
-0.032960 0.451064
-0.028993 0.400708
-0.024415 0.343638
-0.018616 0.288095
-0.013428 0.229804
-0.006104 0.173345
-0.000610 0.110477
0.004578 0.049440
0.011597 -0.012818
0.014039 -0.072329
0.019227 -0.133976
0.026551 -0.195624
0.031434 -0.254830
0.037233 -0.311899
0.042421 -0.367138
0.046693 -0.420850
0.049440 -0.471816
0.053713 -0.520035
0.057375 -0.563982
0.061647 -0.605487
0.066225 -0.642415
0.066836 -0.677206
0.068667 -0.705283
0.069887 -0.729087
0.072634 -0.750145
0.070193 -0.770898
0.075381 -0.780053
0.071718 -0.784326
0.072329 -0.787072
0.070193 -0.782800
0.072329 -0.775475
0.068056 -0.759606
0.066225 -0.742210
0.064394 -0.720237
0.062563 -0.695212
0.058901 -0.662862
0.055849 -0.626240
0.051881 -0.589923
0.047304 -0.544450
0.041810 -0.496841
0.036012 -0.449538
0.030824 -0.401929
0.027772 -0.344554
0.022279 -0.288095
0.015259 -0.228889
0.012207 -0.170293
0.005188 -0.108951
0.001526 -0.047304
-0.005799 0.012513
-0.011902 0.077212
-0.016785 0.139775
-0.021668 0.197760
-0.027161 0.256966
-0.032960 0.313730
-0.037538 0.368358
-0.041505 0.421766
-0.046388 0.473647
-0.049440 0.518509
-0.053102 0.564898
-0.057375 0.605792
-0.059206 0.643635
-0.063173 0.675375
-0.066530 0.704978
-0.062258 0.732444
-0.067751 0.751366
-0.069582 0.767541
-0.070498 0.778527
-0.068972 0.786462
-0.069582 0.786462
-0.068972 0.784020
-0.065920 0.775170
-0.064699 0.761742
-0.062868 0.743431
-0.060121 0.722678
-0.059206 0.693075
-0.053713 0.664998
-0.051576 0.628376
-0.046388 0.590228
-0.043947 0.546587
-0.038453 0.501419
-0.035401 0.450453
-0.025941 0.402844
-0.024415 0.345775
-0.018921 0.288705
-0.010681 0.231635
-0.003052 0.174261
-0.002747 0.109561
0.004883 0.047914
0.010071 -0.011292
0.016175 -0.074160
0.023194 -0.135502
0.025941 -0.195929
0.032655 -0.252998
0.036927 -0.312815
0.041810 -0.366222
0.046388 -0.421461
0.042116 -0.479446
0.055239 -0.519425
0.057680 -0.563372
0.062258 -0.607013
0.065004 -0.643025
0.067141 -0.676595
0.069887 -0.705283
0.068667 -0.730308
0.072024 -0.750450
0.070803 -0.766320
0.074770 -0.777306
0.073550 -0.783715
0.072634 -0.784936
0.072024 -0.782800
0.072024 -0.774255
0.069277 -0.761437
0.067751 -0.741295
0.063478 -0.720237
0.069277 -0.684835
0.058901 -0.661946
0.056459 -0.625324
0.050661 -0.588092
0.046693 -0.542009
0.041810 -0.499893
0.037538 -0.449843
0.030824 -0.397656
0.026856 -0.344554
0.021668 -0.286874
0.015259 -0.228278
0.010681 -0.168767
0.005188 -0.108341
0.001831 -0.046388
-0.006409 0.016175
-0.010987 0.075991
-0.016785 0.134892
-0.023194 0.197455
-0.025636 0.256966
-0.032350 0.313730
-0.035401 0.368358
-0.042726 0.422071
-0.044862 0.473342
-0.050050 0.520035
-0.052187 0.565203
-0.057680 0.604877
-0.061037 0.643025
-0.062258 0.675680
-0.065004 0.705283
-0.066836 0.730003
