# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.029603 0.363170
-0.025025 0.349132
-0.026551 0.319224
-0.021973 0.292062
-0.017090 0.257576
-0.014344 0.218513
-0.010987 0.177618
-0.010376 0.129398
0.001526 0.090945
0.000000 0.034791
0.007630 -0.010987
0.011902 -0.060121
0.013123 -0.107425
0.021058 -0.151982
0.021058 -0.193793
0.030519 -0.231330
0.030824 -0.270394
0.032960 -0.302744
0.035401 -0.332041
0.037538 -0.354320
0.036622 -0.370800
0.036012 -0.385754
0.041200 -0.383312
0.035707 -0.388806
0.039369 -0.376293
0.036927 -0.363475
0.035401 -0.342112
0.031129 -0.318308
0.027467 -0.289621
0.024415 -0.253304
0.020142 -0.218513
0.017701 -0.174566
0.011597 -0.133976
0.011597 -0.078127
-0.005799 -0.046693
-0.005188 0.007324
-0.007630 0.058901
-0.012818 0.103763
-0.014344 0.151067
-0.018006 0.195929
-0.019227 0.238655
-0.025941 0.270394
-0.028382 0.303659
-0.029298 0.333567
-0.031434 0.353404
-0.034181 0.367748
-0.036012 0.377209
-0.027161 0.391858
-0.035096 0.381176
-0.031129 0.375683
-0.030824 0.362255
-0.028993 0.344249
-0.029298 0.315867
-0.023499 0.289926
-0.017090 0.259713
-0.014039 0.218207
-0.010681 0.177313
-0.006409 0.134281
-0.003357 0.086367
0.002441 0.039674
0.004883 -0.012513
0.013733 -0.054628
0.009461 -0.110172
0.019227 -0.152898
0.024415 -0.194403
0.026856 -0.236518
0.030519 -0.268868
0.033265 -0.304270
0.037843 -0.327158
0.035707 -0.352489
0.038148 -0.369274
0.039369 -0.379345
0.039369 -0.385449
0.039064 -0.385754
0.034486 -0.380566
0.036012 -0.361034
0.031129 -0.347911
0.034486 -0.318613
0.029298 -0.290231
0.025941 -0.254219
0.020753 -0.216987
0.014649 -0.177618
0.014344 -0.128483
0.009461 -0.085452
0.002441 -0.039674
-0.003357 0.008545
-0.003357 0.064089
-0.011292 0.104373
-0.019227 0.148930
-0.020142 0.195624
-0.023194 0.232246
-0.024110 0.271920
-0.026856 0.303964
-0.028382 0.331126
-0.030824 0.352184
-0.033265 0.368358
-0.033265 0.381787
-0.036317 0.383618
-0.032655 0.383312
-0.035401 0.374767
-0.026551 0.369274
-0.031129 0.340892
-0.025941 0.319529
-0.023499 0.290231
-0.019227 0.255745
-0.016480 0.216071
-0.010681 0.174871
-0.004883 0.132756
-0.003357 0.083316
0.001831 0.038759
0.007630 -0.010071
0.012207 -0.057680
0.017090 -0.104984
0.015259 -0.157476
0.024720 -0.193487
0.022889 -0.238960
0.029908 -0.271310
0.032350 -0.303049
0.035707 -0.328990
0.035707 -0.352794
0.037233 -0.372021
0.041200 -0.376904
0.039369 -0.386670
0.034791 -0.387585
0.034791 -0.377514
0.039064 -0.359203
0.032350 -0.345775
0.027772 -0.323191
0.025941 -0.291452
0.024415 -0.258797
0.017396 -0.219428
0.015259 -0.176397
0.013123 -0.129398
0.010071 -0.085452
0.001526 -0.039369
-0.000610 0.012207
-0.004883 0.059206
-0.011902 0.106510
-0.015564 0.148320
-0.014039 0.199896
-0.023804 0.233772
-0.025941 0.269784
-0.026551 0.302438
-0.031129 0.327464
-0.031434 0.354625
-0.032960 0.367443
-0.032655 0.382092
-0.034791 0.384228
-0.033265 0.383312
-0.033265 0.376293
-0.030824 0.363475
-0.026551 0.342418
-0.029603 0.314646
-0.023194 0.288095
-0.023194 0.251778
-0.015564 0.218207
-0.010681 0.177618
-0.006104 0.130619
-0.002747 0.085452
0.001221 0.038759
0.007935 -0.008240
0.010376 -0.059511
0.016175 -0.104984
0.018616 -0.152593
0.028687 -0.191656
0.024415 -0.236824
0.026551 -0.274972
0.032044 -0.304575
0.032960 -0.333567
0.037843 -0.353710
0.036012 -0.372631
0.039979 -0.379040
0.036012 -0.386364
0.037843 -0.384533
0.039979 -0.372326
0.037233 -0.361034
0.033570 -0.343944
0.030213 -0.321665
0.032655 -0.285653
0.021973 -0.258492
0.021973 -0.218207
0.017701 -0.174871
0.010681 -0.133061
0.007324 -0.085757
0.001831 -0.038148
0.000610 0.014039
-0.005799 0.057985
-0.010071 0.105899
-0.016480 0.150456
-0.018006 0.195624
-0.023804 0.233467
-0.030519 0.266121
-0.027772 0.303964
-0.032960 0.328684
-0.030824 0.353710
-0.030824 0.369884
-0.031739 0.383923
-0.033876 0.384838
-0.034791 0.385449
-0.028382 0.379650
-0.030519 0.362560
-0.027772 0.345164
-0.029603 0.318003
-0.020142 0.291452
-0.021668 0.255745
-0.018616 0.214240
-0.014039 0.173345
-0.008545 0.129093
-0.003357 0.085452
0.000610 0.038148
0.008545 -0.010071
0.010071 -0.058290
0.014954 -0.106815
0.021668 -0.152287
0.024110 -0.194098
0.026246 -0.234382
0.029298 -0.273141
0.038453 -0.297250
0.032655 -0.334788
0.033570 -0.356151
0.038148 -0.371715
0.037843 -0.382092
0.038148 -0.387585
0.036012 -0.386670
0.040284 -0.375378
0.037233 -0.364696
0.034486 -0.345775
0.028993 -0.321055
0.030213 -0.289010
0.024415 -0.256661
0.017090 -0.222480
0.016785 -0.175787
0.010071 -0.134892
0.009461 -0.082705
0.002747 -0.037538
-0.003052 0.009766
-0.005188 0.057985
-0.010376 0.105594
-0.012207 0.154729
-0.019532 0.193487
-0.023499 0.233772
-0.025941 0.269478
-0.026246 0.303659
-0.030519 0.329295
-0.034791 0.348521
-0.035707 0.367748
-0.035707 0.376904
-0.033570 0.386364
-0.032960 0.382702
-0.030824 0.378124
-0.030519 0.363475
-0.026246 0.344249
-0.024720 0.318613
-0.022584 0.289315
-0.017396 0.255745
-0.015870 0.215155
-0.008240 0.180364
-0.008545 0.129093
-0.004883 0.082400
0.002747 0.039369
0.006104 -0.010987
0.010376 -0.057680
0.014954 -0.108341
0.019532 -0.151982
0.024110 -0.195929
0.026551 -0.234993
0.030213 -0.273446
0.032655 -0.303659
0.035401 -0.329905
0.033876 -0.352794
0.036622 -0.371715
0.038453 -0.382397
0.039369 -0.386364
0.039674 -0.383312
0.036622 -0.376904
0.034791 -0.364086
0.033570 -0.345164
0.033570 -0.318003
0.027772 -0.290536
0.024720 -0.255440
0.018921 -0.218513
0.017701 -0.175481
0.010071 -0.131230
0.004578 -0.090945
0.002441 -0.037843
-0.006409 0.006104
-0.004883 0.060732
-0.010376 0.106815
-0.013123 0.152898
-0.015870 0.195013
-0.021058 0.234382
-0.023499 0.272530
-0.028687 0.301218
-0.028993 0.329295
-0.033570 0.351573
-0.028687 0.373547
-0.034791 0.378430
-0.036012 0.383923
-0.036012 0.381787
-0.034791 0.372631
-0.031739 0.362560
-0.031434 0.340281
-0.024720 0.321360
-0.021668 0.289315
-0.020142 0.251778
-0.016480 0.217292
-0.013123 0.173650
-0.010071 0.129093
-0.006409 0.082705
0.001831 0.038148
0.003967 -0.011292
0.010071 -0.059206
0.020142 -0.102847
0.019227 -0.151372
0.022279 -0.196844
0.024110 -0.237434
0.030213 -0.270699
0.032960 -0.306711
0.036622 -0.330210
0.038148 -0.352184
0.040284 -0.370800
0.037538 -0.381481
0.036927 -0.388195
0.037233 -0.386364
0.038148 -0.377819
0.035096 -0.363475
0.033570 -0.345470
0.030213 -0.320444
0.028077 -0.291452
0.023499 -0.256661
0.019837 -0.214850
0.017396 -0.177618
0.010681 -0.133366
0.007324 -0.086673
0.006409 -0.034791
-0.001831 0.010376
-0.007935 0.057070
-0.010071 0.104678
-0.015870 0.148625
-0.019837 0.193793
-0.023194 0.233467
-0.022584 0.273446
-0.027161 0.303659
-0.029603 0.331431
-0.034181 0.353404
-0.034791 0.369884
-0.034181 0.380261
-0.035401 0.383312
-0.033570 0.384838
-0.035401 0.375683
-0.031129 0.362865
-0.028687 0.344859
-0.025941 0.320444
-0.025025 0.288705
-0.019837 0.255745
-0.015870 0.217597
-0.011902 0.175481
-0.007324 0.130619
-0.002136 0.086062
0.000610 0.038148
0.007935 -0.011292
0.007630 -0.061647
0.017701 -0.102542
0.016785 -0.153813
0.024415 -0.193793
0.027467 -0.234382
0.031129 -0.271004
0.032044 -0.304880
0.037538 -0.330821
0.036927 -0.355235
0.039064 -0.369579
0.038453 -0.381787
0.038453 -0.385449
0.042116 -0.381787
0.035096 -0.377819
0.037843 -0.362560
0.033876 -0.342723
0.029908 -0.321665
0.027772 -0.289621
0.024720 -0.255135
0.021668 -0.216376
0.014954 -0.175176
0.010987 -0.132145
0.007324 -0.085147
0.001221 -0.038453
-0.001831 0.010376
-0.007630 0.057985
-0.010071 0.108036
-0.015564 0.152898
-0.018616 0.197760
-0.024720 0.232246
-0.025636 0.272225
-0.030213 0.302438
-0.030519 0.332041
-0.031739 0.351878
-0.031434 0.368969
-0.042421 0.374462
-0.034181 0.384838
-0.032960 0.386059
-0.032655 0.376293
-0.033876 0.361644
-0.028077 0.344859
-0.027161 0.319224
-0.024720 0.291147
-0.018616 0.256355
-0.015259 0.218818
-0.011292 0.175787
-0.010376 0.131840
-0.001526 0.087283
0.000610 0.038148
0.005493 -0.010376
0.007019 -0.059816
0.018616 -0.100711
0.017701 -0.151982
0.019532 -0.196844
0.021973 -0.237434
0.025636 -0.274361
0.034486 -0.302133
0.033570 -0.331431
0.039064 -0.347606
0.037233 -0.369579
0.039064 -0.377819
0.037233 -0.386059
0.036622 -0.383312
0.036622 -0.375378
0.029298 -0.367443
0.039369 -0.336924
0.026246 -0.321055
0.029298 -0.288705
0.021668 -0.257271
0.019532 -0.218513
0.015564 -0.174871
0.010681 -0.132450
0.010681 -0.080264
0.003662 -0.036927
-0.002136 0.012513
-0.008240 0.058901
-0.010987 0.107425
-0.015870 0.153203
-0.022584 0.189520
-0.019532 0.240486
-0.029298 0.267953
-0.024415 0.308237
-0.027772 0.331736
-0.029603 0.356151
-0.033265 0.371715
-0.035096 0.383007
-0.031739 0.390027
-0.036927 0.383312
-0.032350 0.376293
-0.032960 0.361034
-0.022584 0.350963
-0.027161 0.320139
-0.025941 0.288705
-0.025025 0.253609
-0.018616 0.215766
-0.010987 0.178838
-0.008545 0.132145
0.000916 0.091250
0.001831 0.036622
0.007630 -0.009766
0.010071 -0.056459
0.015564 -0.105594
0.019532 -0.152287
0.019532 -0.196539
0.033265 -0.225837
0.026246 -0.273446
0.034486 -0.303049
0.033265 -0.328990
0.036927 -0.351878
0.037233 -0.369884
0.035707 -0.381176
0.042726 -0.379345
0.038453 -0.383312
0.035401 -0.375072
0.032960 -0.365001
0.035401 -0.343638
0.030824 -0.318003
0.022889 -0.294504
0.024720 -0.249947
0.016175 -0.221259
0.019227 -0.171819
0.012513 -0.131840
0.009156 -0.082705
0.002441 -0.035401
-0.000916 0.012207
-0.002747 0.065004
-0.010071 0.105594
-0.014649 0.151677
-0.020142 0.193793
-0.021058 0.238350
-0.028077 0.271004
-0.020142 0.313120
-0.032350 0.331431
-0.033876 0.351268
-0.024110 0.383312
-0.034791 0.383007
-0.028993 0.390637
-0.033265 0.387280
-0.033265 0.378124
