# Sampling Rate: 100000 S/s
#
# channel_A channel_B
-0.023194 0.281075
-0.026246 0.299997
-0.027772 0.321360
-0.028993 0.337230
-0.034181 0.349742
-0.030824 0.363475
-0.027772 0.380566
-0.034181 0.382092
-0.032350 0.388501
-0.033570 0.394604
-0.033876 0.394604
-0.035707 0.392773
-0.032350 0.389416
-0.029298 0.386364
-0.028077 0.374767
-0.031739 0.362255
-0.027161 0.349742
-0.023499 0.334483
-0.026246 0.317392
-0.027161 0.292673
-0.021058 0.276803
-0.020447 0.249641
-0.012513 0.232246
-0.010987 0.204779
-0.008240 0.178228
-0.007630 0.147404
-0.005493 0.120548
-0.000916 0.088809
0.000610 0.057985
0.001526 0.027161
0.003967 -0.004883
0.014039 -0.029908
0.009156 -0.065310
0.014344 -0.093997
0.015564 -0.124210
0.019532 -0.154424
0.023194 -0.181585
0.023194 -0.208136
0.028687 -0.231941
0.028687 -0.257271
0.030519 -0.281686
0.030213 -0.302133
0.030213 -0.323191
0.035401 -0.336924
0.032044 -0.360729
0.039979 -0.365001
0.036622 -0.379955
0.039674 -0.383312
0.039369 -0.390332
0.040284 -0.394299
0.039979 -0.394910
0.039369 -0.392773
0.039674 -0.386670
0.035096 -0.386364
0.033876 -0.374462
0.033570 -0.363781
0.036622 -0.347301
0.030824 -0.336314
0.028382 -0.322275
0.025330 -0.298471
0.023194 -0.278329
0.023194 -0.252998
0.021058 -0.227668
0.019532 -0.201727
0.016175 -0.175176
0.010987 -0.147404
0.012513 -0.118107
0.006409 -0.089724
0.004578 -0.057985
0.002747 -0.028077
0.003357 0.010071
-0.005188 0.032044
-0.007935 0.061647
-0.007935 0.094607
-0.013123 0.122379
-0.014344 0.152287
-0.017396 0.180364
-0.018616 0.210883
-0.020142 0.233772
-0.022584 0.258797
-0.024415 0.281381
-0.026856 0.301828
-0.028077 0.318003
-0.033265 0.335398
-0.026856 0.356456
-0.035096 0.361339
-0.033265 0.376598
-0.032655 0.386364
-0.033265 0.388501
-0.033265 0.395520
-0.032960 0.392773
-0.029603 0.394910
-0.032350 0.388806
-0.029603 0.385144
-0.030519 0.374157
-0.028382 0.365612
-0.028077 0.349437
-0.029603 0.332041
-0.026856 0.315256
-0.026246 0.295419
-0.021363 0.274667
-0.019532 0.254830
-0.014344 0.230110
-0.013123 0.204169
-0.013428 0.174261
-0.007935 0.147099
-0.004883 0.118412
-0.003052 0.087588
0.000916 0.057985
0.003967 0.030213
0.005188 -0.003357
0.005188 -0.039369
0.010987 -0.064089
0.013733 -0.094607
0.015564 -0.126652
0.020753 -0.152593
0.022889 -0.179144
0.023499 -0.208136
0.025941 -0.233467
0.028077 -0.256355
0.030824 -0.281381
0.033876 -0.298471
0.035401 -0.318613
0.034791 -0.338755
0.033876 -0.354015
0.038453 -0.365307
0.039369 -0.372631
0.039064 -0.385449
0.037843 -0.392163
0.037233 -0.394604
0.040284 -0.390637
0.037538 -0.392468
0.037233 -0.388501
0.037843 -0.380871
0.036927 -0.374767
0.033876 -0.364696
0.030519 -0.353710
0.031434 -0.334788
0.027772 -0.319529
0.028077 -0.299692
0.026246 -0.275582
0.022889 -0.254830
0.021058 -0.227058
0.016785 -0.204779
0.015564 -0.175787
0.012207 -0.147404
0.010376 -0.119022
0.008545 -0.087283
0.009461 -0.054933
0.002747 -0.028993
-0.003967 0.000305
-0.004273 0.032350
-0.008850 0.061647
-0.008545 0.095828
-0.010376 0.124821
-0.011902 0.155644
-0.015259 0.183721
-0.019227 0.206915
-0.021363 0.234077
-0.023194 0.258187
-0.021973 0.281686
-0.028382 0.302744
-0.025636 0.324412
-0.031739 0.338450
-0.032350 0.351268
-0.031129 0.363781
-0.033265 0.375072
-0.033570 0.383618
-0.033265 0.391552
-0.031434 0.395215
-0.032960 0.394299
-0.034181 0.392468
-0.033876 0.389416
-0.032350 0.383312
-0.031129 0.375683
-0.030213 0.361034
-0.027161 0.353404
-0.028993 0.333262
-0.022584 0.319834
-0.021668 0.299081
-0.019227 0.275277
-0.018921 0.251778
-0.014649 0.229804
-0.011902 0.205390
-0.011292 0.177007
-0.010071 0.146489
-0.005799 0.119022
0.000916 0.093081
0.000000 0.059206
0.000000 0.023194
0.003967 -0.003052
0.005493 -0.036927
0.010376 -0.064089
0.012513 -0.095828
0.017090 -0.121464
0.020753 -0.153508
0.021668 -0.181890
0.024720 -0.209052
0.024415 -0.234993
0.026856 -0.258492
0.028993 -0.280465
0.032960 -0.299692
0.030824 -0.321055
0.033876 -0.339366
0.035401 -0.354625
0.036622 -0.365001
0.037538 -0.377209
0.037843 -0.383618
0.041200 -0.390027
0.038453 -0.395215
0.037233 -0.395520
0.039064 -0.392163
0.037538 -0.388501
0.035707 -0.383923
0.033265 -0.376904
0.032960 -0.365307
0.033265 -0.351268
0.032350 -0.334178
0.030213 -0.316172
0.027467 -0.296335
0.024720 -0.275277
0.023499 -0.255135
0.019837 -0.227058
0.016785 -0.204779
0.016175 -0.175176
0.011597 -0.147404
0.012207 -0.114750
0.007324 -0.087893
0.004883 -0.057985
0.003662 -0.027467
-0.000916 0.003967
-0.002136 0.034486
-0.008240 0.065004
-0.005493 0.098880
-0.012207 0.124516
-0.013428 0.156255
-0.017396 0.182195
-0.018616 0.209052
-0.021668 0.234687
-0.021973 0.256661
-0.025025 0.281075
-0.026856 0.301828
-0.027772 0.320750
-0.030824 0.336314
-0.030519 0.353710
-0.028993 0.370190
-0.033265 0.378430
-0.032655 0.386975
-0.033265 0.390942
-0.035096 0.394604
-0.031434 0.395215
-0.031739 0.395520
-0.032655 0.389721
-0.032960 0.384838
-0.031739 0.373852
-0.032960 0.361644
-0.028993 0.351268
-0.025636 0.336619
-0.024110 0.318308
-0.023804 0.299692
-0.019837 0.277718
-0.018616 0.256355
-0.015564 0.230110
-0.014344 0.204779
-0.014039 0.172430
-0.003052 0.155339
-0.013428 0.112003
-0.001831 0.089114
-0.001831 0.055239
0.000610 0.025941
0.004883 -0.001221
0.007019 -0.034791
0.015259 -0.059816
0.013733 -0.092776
0.017396 -0.122990
0.016480 -0.152287
0.020753 -0.179754
0.024415 -0.206305
0.021668 -0.236824
0.032960 -0.252388
0.025941 -0.285958
0.032655 -0.300607
0.039979 -0.314951
0.036012 -0.336924
0.033265 -0.355235
0.034791 -0.367443
0.040284 -0.370190
0.036622 -0.385754
0.039064 -0.390332
0.034791 -0.395520
0.043641 -0.388501
0.037538 -0.393078
0.033265 -0.393384
0.037538 -0.379955
0.033265 -0.378430
0.035401 -0.361339
0.032655 -0.349742
0.034486 -0.329295
0.030824 -0.315256
0.028993 -0.295724
0.024720 -0.274361
0.023804 -0.252083
