# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.032655 -0.363475
0.037233 -0.343944
0.032350 -0.329295
0.030213 -0.308542
0.024110 -0.286874
0.028993 -0.253914
0.021668 -0.232246
0.019837 -0.198675
0.016480 -0.166326
0.012207 -0.134281
0.009156 -0.099490
0.005493 -0.062563
0.005188 -0.024720
0.000305 0.010987
-0.003662 0.048219
-0.007324 0.082095
-0.011292 0.118717
-0.013123 0.154424
-0.019532 0.184637
-0.019227 0.217902
-0.024720 0.243843
-0.021668 0.276193
-0.025941 0.300607
-0.028382 0.324107
-0.028077 0.342723
-0.032655 0.357067
-0.030519 0.372936
-0.032350 0.383007
-0.032655 0.388501
-0.033265 0.391858
-0.032350 0.393994
-0.032350 0.386975
-0.027772 0.383618
-0.030824 0.369884
-0.026856 0.355541
-0.027161 0.337840
-0.024110 0.320750
-0.023194 0.297250
-0.020447 0.273446
-0.018616 0.243233
-0.011902 0.216071
-0.011292 0.182501
-0.009461 0.148625
-0.006409 0.112308
0.003662 0.083316
0.000610 0.042116
0.007019 0.003662
0.007935 -0.030824
0.012513 -0.066530
0.014649 -0.104068
0.019227 -0.138554
0.022279 -0.170293
0.024720 -0.204474
0.026856 -0.232246
0.028993 -0.261849
0.030824 -0.288400
0.034486 -0.308847
0.033265 -0.334483
0.037233 -0.348827
0.036622 -0.365612
0.038453 -0.376904
0.040284 -0.381481
0.041505 -0.388501
0.038453 -0.387890
0.039064 -0.387890
0.040284 -0.379345
0.036622 -0.370495
0.036012 -0.358898
0.031434 -0.342723
0.033876 -0.321665
0.028993 -0.300302
0.026551 -0.276803
0.023194 -0.250862
0.020753 -0.220649
0.019532 -0.188604
0.017090 -0.155034
0.012207 -0.122074
0.007324 -0.085452
0.006104 -0.051881
0.003052 -0.012818
-0.001526 0.022889
-0.005493 0.057070
-0.010681 0.093081
-0.008240 0.133976
-0.015870 0.162053
-0.015564 0.197760
-0.021973 0.226447
-0.021363 0.256661
-0.027161 0.281991
-0.027161 0.306406
-0.028382 0.328990
-0.028993 0.348521
-0.030519 0.363475
-0.030519 0.375072
-0.033265 0.384228
-0.033570 0.389416
-0.035401 0.388806
-0.031739 0.391858
-0.034181 0.383618
-0.029603 0.379040
-0.030213 0.366222
-0.030213 0.353404
-0.026856 0.331736
-0.023499 0.311899
-0.021363 0.291147
-0.019227 0.263680
-0.016785 0.234687
-0.014649 0.203864
-0.008240 0.172124
-0.005799 0.135807
-0.009766 0.095523
-0.001526 0.068056
0.001831 0.032655
0.004578 -0.007630
0.010376 -0.042116
0.014039 -0.078433
0.016785 -0.114750
0.021058 -0.148930
0.023194 -0.183721
0.024415 -0.214545
0.027467 -0.242012
0.027467 -0.271920
0.035096 -0.293588
0.033876 -0.319529
0.036927 -0.336619
0.036927 -0.352794
0.039369 -0.369579
0.038453 -0.376904
0.038148 -0.387280
0.037843 -0.387280
0.038148 -0.388501
0.037843 -0.384228
0.038148 -0.377209
0.036622 -0.365612
0.034791 -0.354320
0.033265 -0.336619
0.030824 -0.315867
0.026551 -0.295419
0.025941 -0.266121
0.023499 -0.239265
0.019227 -0.209662
0.017396 -0.179449
0.014039 -0.145878
0.011902 -0.109256
0.004883 -0.076296
0.003662 -0.037843
-0.000610 -0.002747
0.000305 0.037538
-0.004273 0.071413
-0.006104 0.109256
-0.012513 0.142216
-0.015259 0.177007
-0.018616 0.207221
-0.020142 0.237129
-0.023499 0.267037
-0.023804 0.294198
-0.026551 0.314951
-0.028687 0.337230
-0.028993 0.352489
-0.030213 0.369274
-0.033265 0.378124
-0.030824 0.385754
-0.035401 0.389721
-0.032960 0.391858
-0.032350 0.389416
-0.030824 0.383007
-0.026246 0.376598
-0.028077 0.362865
-0.026551 0.344249
-0.024415 0.327158
-0.021668 0.306101
-0.021058 0.280770
-0.017701 0.251778
-0.014039 0.224311
-0.016480 0.188299
-0.007324 0.164800
-0.009766 0.119938
0.001221 0.094607
0.000916 0.053102
0.006104 0.018311
0.005188 -0.019837
0.011597 -0.057680
0.018616 -0.087588
0.018311 -0.127262
0.023194 -0.160527
0.022279 -0.196539
0.031129 -0.220038
0.028077 -0.256355
0.029908 -0.283517
0.028993 -0.306101
0.032960 -0.330821
0.037233 -0.343333
0.039369 -0.361034
0.041810 -0.367138
0.039369 -0.380871
0.039979 -0.385449
0.040284 -0.388806
0.038453 -0.389721
0.039064 -0.383312
0.032960 -0.380566
0.043947 -0.354930
0.031129 -0.352184
0.034486 -0.328684
0.029908 -0.311289
0.027467 -0.286264
0.025330 -0.259407
0.021668 -0.232856
0.022279 -0.196234
0.016175 -0.168157
0.011902 -0.136113
0.006104 -0.103153
0.011902 -0.057375
0.001831 -0.026551
-0.003662 0.005188
-0.003967 0.048219
-0.010987 0.077822
-0.006714 0.121464
-0.012207 0.152287
-0.014344 0.187078
-0.017701 0.217902
-0.020142 0.247200
-0.023194 0.274361
-0.024415 0.297861
-0.027161 0.321360
-0.031739 0.338450
-0.023804 0.365612
-0.035401 0.367748
-0.032655 0.376904
-0.037233 0.381787
-0.033876 0.389416
-0.030519 0.391552
-0.034181 0.383618
-0.027161 0.383923
-0.026856 0.372631
-0.027161 0.355846
-0.026856 0.337230
-0.023194 0.318308
-0.020142 0.297861
-0.021973 0.265816
-0.012513 0.247200
-0.017701 0.206915
-0.004883 0.184332
-0.006104 0.147404
-0.002136 0.113834
0.000610 0.078433
0.001221 0.040895
0.010071 0.010071
0.007019 -0.034791
0.014039 -0.066530
0.011902 -0.107730
0.021363 -0.137028
0.018311 -0.175176
0.021058 -0.208747
0.026551 -0.236213
0.024415 -0.268868
0.032655 -0.286264
0.032655 -0.312815
0.040284 -0.329600
0.037233 -0.349132
0.039369 -0.365001
0.040590 -0.372936
0.040590 -0.385144
0.039064 -0.387585
0.038148 -0.392468
0.046388 -0.380566
0.035096 -0.385754
0.037538 -0.371105
0.032655 -0.363781
0.033265 -0.343638
0.030519 -0.324412
0.029298 -0.303659
0.027772 -0.275582
0.025330 -0.249336
0.021668 -0.222175
0.017090 -0.190435
0.016175 -0.157476
0.013123 -0.121769
0.009156 -0.088809
0.003662 -0.050661
0.003052 -0.014954
0.000610 0.022279
-0.004273 0.057375
-0.006409 0.094302
-0.010376 0.128178
-0.013428 0.163274
-0.016785 0.196539
-0.018616 0.225227
-0.023499 0.255745
-0.022279 0.281991
-0.025025 0.306101
-0.028687 0.327769
-0.028993 0.345775
-0.031434 0.361034
-0.031739 0.373547
-0.033570 0.383923
-0.031739 0.390027
-0.031434 0.389416
-0.032350 0.390637
-0.032655 0.384838
-0.030213 0.376904
-0.028993 0.367443
-0.025025 0.350352
-0.024720 0.332041
-0.022584 0.311594
-0.021363 0.286874
-0.018006 0.259713
-0.015870 0.233467
-0.013123 0.202643
-0.011902 0.170598
-0.006104 0.134892
-0.001831 0.102542
0.001526 0.064394
0.003357 0.028993
0.007630 -0.009461
0.011902 -0.043947
0.014039 -0.079958
0.016785 -0.118412
0.020142 -0.149846
0.023804 -0.183721
0.025636 -0.214850
0.028687 -0.246590
0.031434 -0.272530
0.033876 -0.296945
0.035401 -0.319834
0.036012 -0.339061
0.036927 -0.356761
0.039369 -0.371715
0.038453 -0.381787
0.041810 -0.386670
0.041200 -0.389111
0.040284 -0.391247
0.040284 -0.387280
0.034486 -0.383618
0.035707 -0.368664
0.033265 -0.354930
0.032655 -0.337840
0.029908 -0.318308
0.028687 -0.296945
0.027772 -0.268563
0.025636 -0.242012
0.020753 -0.212104
0.016785 -0.180670
0.015259 -0.145268
0.014039 -0.108951
0.006104 -0.074465
0.006409 -0.037233
0.000000 -0.003357
-0.003662 0.033265
-0.006104 0.068056
-0.008240 0.103153
-0.012513 0.138859
-0.015259 0.171514
-0.017701 0.204474
-0.019837 0.235908
-0.023499 0.261544
-0.026246 0.289926
-0.026856 0.312815
-0.028687 0.331126
-0.030824 0.349742
-0.033265 0.362865
-0.033265 0.375072
-0.032350 0.385144
-0.032655 0.388501
-0.031739 0.390027
-0.031434 0.388195
-0.031739 0.382702
-0.030213 0.372631
-0.028382 0.358592
-0.027161 0.344554
-0.024415 0.325327
-0.021363 0.303659
-0.018921 0.278634
-0.016480 0.252693
-0.015259 0.222480
-0.010681 0.191046
-0.008850 0.159917
-0.005188 0.122684
-0.001831 0.087893
0.001221 0.053407
0.005188 0.017396
0.008545 -0.021058
0.013123 -0.055544
0.015259 -0.091556
0.017701 -0.126041
0.019837 -0.162664
0.024720 -0.193182
0.026246 -0.225532
0.029908 -0.252388
0.030519 -0.281991
0.032044 -0.302133
0.035096 -0.325632
0.036622 -0.345470
0.037233 -0.361034
0.036927 -0.371715
0.038453 -0.384228
0.039064 -0.388501
0.040590 -0.390332
0.037843 -0.388501
0.039064 -0.383007
0.035707 -0.376598
0.034791 -0.364696
0.033570 -0.348216
0.032350 -0.331431
0.029908 -0.311899
0.028687 -0.287179
0.024415 -0.260018
0.022889 -0.231941
0.016480 -0.201117
0.016480 -0.167852
0.011597 -0.132756
0.009766 -0.100711
0.005799 -0.062868
0.001831 -0.027772
0.000610 0.010987
-0.003967 0.045778
-0.007324 0.084231
-0.011902 0.117801
-0.012207 0.152898
-0.015870 0.185858
-0.018921 0.216376
-0.020142 0.246895
-0.023194 0.272530
-0.025636 0.298776
-0.028687 0.319529
-0.028687 0.339671
-0.028687 0.357067
-0.031129 0.371410
-0.032350 0.381481
-0.032655 0.386975
-0.032350 0.391552
-0.031129 0.389416
-0.031434 0.387585
-0.031434 0.378124
-0.030824 0.369884
-0.027161 0.354930
-0.026856 0.338450
-0.024110 0.317392
-0.020447 0.296640
-0.018006 0.273141
-0.016785 0.241401
-0.014039 0.213324
-0.009766 0.181890
-0.006104 0.147710
-0.003357 0.111698
-0.001221 0.077517
0.002747 0.041505
0.005799 0.003052
0.009766 -0.033265
0.015564 -0.066836
0.015564 -0.104984
0.018616 -0.138859
0.020753 -0.173040
0.023804 -0.203253
0.028687 -0.234077
0.032350 -0.259102
0.031434 -0.288705
0.034791 -0.313120
0.034791 -0.334483
0.037538 -0.351268
0.035401 -0.368053
0.039369 -0.375378
0.039369 -0.383923
0.039674 -0.388501
0.039369 -0.389721
0.038453 -0.386364
0.038453 -0.382397
0.036927 -0.371715
0.035401 -0.358898
0.031434 -0.343944
0.032655 -0.323191
0.029298 -0.299387
0.027772 -0.276803
0.024720 -0.250252
0.023499 -0.221259
0.017396 -0.188910
0.014649 -0.156560
0.012818 -0.122684
0.010071 -0.087588
0.006104 -0.051271
-0.001831 -0.019837
-0.001221 0.023499
-0.003662 0.059816
-0.006409 0.095523
-0.011902 0.129704
-0.012818 0.165410
-0.016785 0.197455
-0.020447 0.227363
-0.022279 0.254830
-0.025025 0.281381
