# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.015259 -0.224616
0.012207 -0.198981
0.011597 -0.173345
0.009461 -0.147710
0.006104 -0.119633
0.003967 -0.093692
0.000610 -0.069887
0.000000 -0.042726
-0.004883 -0.014649
-0.005188 0.010071
-0.008850 0.036317
-0.008850 0.064089
-0.010681 0.090945
-0.014039 0.115970
-0.017701 0.144963
-0.022584 0.168767
-0.020447 0.195013
-0.021058 0.220649
-0.025636 0.249031
-0.027161 0.271004
-0.029603 0.296030
-0.030824 0.319224
-0.032960 0.345470
-0.042116 0.365612
-0.037233 0.392468
-0.038453 0.417188
-0.041810 0.438246
-0.043641 0.461745
-0.044862 0.483108
-0.047609 0.506912
-0.048524 0.526139
-0.050050 0.545976
-0.051271 0.566118
-0.051881 0.587176
-0.054323 0.604266
-0.054018 0.622883
-0.056764 0.641804
-0.057680 0.658589
-0.060427 0.675375
-0.060427 0.690329
-0.058290 0.704062
-0.062258 0.719932
-0.064699 0.731834
-0.064394 0.746178
-0.065310 0.757164
-0.065310 0.768456
-0.065920 0.781274
-0.068361 0.788903
-0.068361 0.799280
-0.069582 0.807215
-0.068056 0.814844
-0.068972 0.820643
-0.070193 0.826746
-0.070498 0.833766
-0.073550 0.834071
-0.069887 0.840785
-0.070193 0.841395
-0.069582 0.845668
-0.069887 0.847194
-0.070498 0.844447
-0.070193 0.845973
-0.069582 0.844142
-0.071108 0.842921
-0.069277 0.839564
-0.069582 0.835902
-0.069582 0.828883
-0.066530 0.824305
-0.066836 0.817286
-0.064699 0.809656
-0.066530 0.799890
-0.063173 0.793786
-0.062563 0.784631
-0.060732 0.772118
-0.060427 0.762963
-0.057680 0.752586
-0.056154 0.738853
-0.056764 0.724509
-0.054628 0.707724
-0.054323 0.693991
-0.050050 0.680258
-0.049440 0.665609
-0.052187 0.642720
-0.046083 0.631733
-0.048524 0.607929
-0.043031 0.591754
-0.039979 0.574053
-0.038453 0.554826
-0.036927 0.533464
-0.036317 0.510269
-0.029603 0.493789
-0.033570 0.465102
-0.027161 0.446181
-0.030519 0.423292
-0.021058 0.405286
-0.025025 0.374462
-0.022279 0.350047
-0.016785 0.329295
-0.015870 0.302744
-0.015564 0.278634
-0.014039 0.250862
-0.010681 0.229499
-0.006714 0.201727
-0.005799 0.176702
-0.001221 0.152593
-0.000610 0.125126
0.000610 0.099796
0.000305 0.068972
0.012207 0.053102
0.006104 0.017701
0.012513 -0.007935
0.012818 -0.034486
0.016175 -0.061037
0.014649 -0.091250
0.021973 -0.114139
0.023499 -0.137638
0.022889 -0.166021
0.026856 -0.191046
0.027467 -0.218513
0.031434 -0.242012
0.032350 -0.270089
0.032350 -0.297555
0.037233 -0.317392
0.035401 -0.345470
0.039674 -0.368664
0.043336 -0.392773
0.046388 -0.415052
0.046999 -0.436720
0.048830 -0.458388
0.049135 -0.481582
0.048830 -0.503861
0.053407 -0.524003
0.054018 -0.547502
0.060121 -0.558794
0.055544 -0.585040
0.056459 -0.607318
0.060121 -0.619221
0.062563 -0.640278
0.062563 -0.657063
0.063173 -0.673544
0.068972 -0.685446
0.068056 -0.702536
0.068972 -0.717185
0.070193 -0.730613
0.068972 -0.743431
0.071108 -0.754418
0.068667 -0.769066
0.075991 -0.771203
0.071108 -0.791345
0.074770 -0.796228
0.073855 -0.806604
0.076601 -0.811487
0.073855 -0.819727
0.074770 -0.826746
0.078127 -0.827357
0.074465 -0.834986
0.075991 -0.838649
0.074160 -0.844752
0.078127 -0.838954
0.074465 -0.845363
0.071108 -0.845668
0.075381 -0.844752
0.072634 -0.845363
0.074465 -0.840175
0.073855 -0.836818
0.073855 -0.830409
0.071718 -0.827357
0.072634 -0.820338
0.072024 -0.814234
0.068667 -0.806604
0.068972 -0.800501
0.064394 -0.791955
0.072634 -0.775475
0.061953 -0.774865
0.066225 -0.758995
0.061953 -0.748314
0.062258 -0.735191
0.061647 -0.722373
0.057680 -0.709250
0.059816 -0.690023
0.055849 -0.675985
0.055849 -0.659200
0.052492 -0.642109
0.050356 -0.624409
0.050966 -0.607929
0.045167 -0.593890
0.049135 -0.565508
0.041810 -0.552690
0.044252 -0.526749
0.046083 -0.501114
0.041505 -0.485244
0.038148 -0.465102
0.036927 -0.442213
0.035401 -0.419324
0.031129 -0.396741
0.027467 -0.372326
0.026246 -0.352184
0.032960 -0.316782
0.020753 -0.302438
0.019837 -0.275582
0.016480 -0.248115
0.016175 -0.223090
0.013733 -0.198981
0.010071 -0.173956
0.010376 -0.145573
0.005188 -0.122684
0.005799 -0.094302
0.002441 -0.067446
0.000000 -0.039674
-0.003357 -0.014344
-0.007935 0.009461
-0.004883 0.041505
-0.012818 0.059816
-0.009766 0.093081
-0.013428 0.117191
-0.015870 0.144047
-0.020142 0.170904
-0.021058 0.196234
-0.019837 0.224311
-0.024110 0.245674
-0.028382 0.274972
-0.031434 0.296030
-0.026246 0.327158
-0.035401 0.342723
-0.037233 0.368053
-0.038453 0.394299
-0.038148 0.416578
-0.042116 0.440382
-0.043641 0.460829
-0.043031 0.487075
-0.046388 0.505387
-0.050050 0.527360
-0.049745 0.547807
-0.051576 0.567034
-0.052797 0.585345
-0.054323 0.604877
-0.054628 0.625019
-0.057375 0.640584
-0.058596 0.659200
-0.058596 0.673849
-0.059816 0.690939
-0.060121 0.705588
-0.060121 0.720847
-0.060732 0.736717
-0.063173 0.745262
-0.063478 0.757775
-0.067751 0.768151
-0.062563 0.785546
-0.067141 0.788903
-0.069582 0.796228
-0.071108 0.808130
-0.071413 0.811182
-0.067141 0.822779
-0.069887 0.826746
-0.068972 0.834071
-0.067446 0.837733
-0.072634 0.838038
-0.068972 0.845058
-0.069887 0.844752
-0.067751 0.847499
-0.071718 0.844447
-0.065004 0.853298
