# Sampling Rate: 100000 S/s
#
# channel_A channel_B
0.050661 -0.409558
0.056154 -0.487991
0.061647 -0.549638
0.060427 -0.594195
0.070193 -0.605792
0.061037 -0.614948
0.063478 -0.583514
0.055544 -0.541704
0.048524 -0.478835
0.039369 -0.399792
0.029298 -0.306101
0.022889 -0.193793
0.005799 -0.087283
-0.004273 0.027772
-0.016785 0.140385
-0.023499 0.255135
-0.037233 0.350352
-0.049135 0.436415
-0.052797 0.510269
-0.059816 0.562761
-0.055239 0.606098
-0.058290 0.615864
-0.052187 0.610370
-0.052797 0.577105
-0.046693 0.526139
-0.038148 0.460219
-0.030213 0.371715
-0.019837 0.272835
-0.013123 0.161138
0.011902 0.061647
0.011902 -0.067141
0.026551 -0.178533
0.037233 -0.284738
0.044862 -0.383312
0.054018 -0.465102
0.058901 -0.534379
0.067446 -0.576495
0.065310 -0.607318
0.063478 -0.613727
0.059816 -0.598468
0.061037 -0.557573
0.052797 -0.502945
0.035707 -0.437330
0.034486 -0.334483
0.018311 -0.240181
0.014649 -0.122684
0.000000 -0.010376
-0.010681 0.104984
-0.022584 0.215461
-0.032960 0.319834
-0.037843 0.417798
-0.050661 0.489822
-0.053713 0.551164
-0.063173 0.587176
-0.054628 0.616169
-0.058901 0.610370
-0.055544 0.585040
-0.052797 0.541704
-0.043947 0.477615
-0.033265 0.401013
-0.022584 0.307016
-0.006409 0.207831
0.001526 0.089419
0.012207 -0.025941
0.023499 -0.138554
0.032960 -0.251167
0.044252 -0.348216
0.047304 -0.442213
0.066530 -0.503555
0.059816 -0.569475
0.065615 -0.600604
0.064089 -0.614032
0.065004 -0.606403
0.059511 -0.575579
0.051881 -0.527055
0.051271 -0.451674
0.036012 -0.369274
0.026246 -0.271920
0.015564 -0.165716
0.004578 -0.049440
-0.006409 0.068361
-0.025941 0.172735
-0.028687 0.286569
-0.045167 0.376598
-0.046083 0.468764
-0.053713 0.534074
-0.054628 0.584124
-0.058290 0.607929
-0.061342 0.613727
-0.051881 0.603656
-0.050661 0.561235
-0.043947 0.507218
-0.039979 0.427259
-0.021668 0.345164
-0.019532 0.234382
-0.007935 0.123600
0.005493 0.012513
0.012818 -0.110782
0.031434 -0.212714
0.039064 -0.318308
0.051881 -0.409253
0.057985 -0.487686
0.062868 -0.549333
0.067751 -0.588702
0.065004 -0.612201
0.065615 -0.609455
0.060427 -0.591144
0.058290 -0.539262
0.047914 -0.483108
0.039674 -0.401013
0.030213 -0.306101
0.019532 -0.200507
0.006104 -0.089114
-0.004273 0.026551
-0.015564 0.141606
-0.026246 0.252083
-0.037233 0.350963
-0.046083 0.437941
-0.052187 0.512406
-0.056154 0.566424
-0.055849 0.603351
-0.058596 0.613422
-0.055544 0.604266
-0.052187 0.574358
-0.045473 0.524613
-0.037538 0.457167
-0.028687 0.371715
-0.010987 0.279244
-0.008240 0.164495
0.005799 0.051271
0.014344 -0.065615
0.026856 -0.177007
0.038453 -0.283822
0.045778 -0.381787
0.055239 -0.466628
0.061953 -0.532243
0.064394 -0.580462
0.066530 -0.608234
0.067446 -0.610370
0.062258 -0.596942
0.057375 -0.558794
0.051576 -0.503555
0.043336 -0.427564
0.033265 -0.338755
0.021668 -0.236824
0.010681 -0.127873
-0.000610 -0.010681
-0.012513 0.101016
-0.024415 0.213019
-0.034791 0.319529
-0.041810 0.411389
-0.048524 0.489822
-0.055849 0.548723
-0.056764 0.591754
-0.058596 0.611286
-0.055849 0.609760
-0.054018 0.585650
-0.048524 0.544450
-0.042116 0.480972
-0.032960 0.400098
-0.026551 0.302133
-0.012207 0.200507
0.000000 0.089724
0.012513 -0.026856
0.023804 -0.140996
0.032350 -0.250862
0.044862 -0.351573
0.053102 -0.440077
0.058290 -0.512101
0.064699 -0.567339
0.065615 -0.600604
0.064394 -0.616474
0.063173 -0.605487
0.058901 -0.576189
0.054323 -0.526749
0.044557 -0.456557
0.037843 -0.371105
0.026246 -0.271920
0.013733 -0.164800
0.002441 -0.052797
-0.008240 0.065004
-0.019532 0.177618
-0.030519 0.282907
-0.039369 0.380871
-0.046083 0.464492
-0.054018 0.532548
-0.057680 0.579547
-0.057985 0.605792
-0.059816 0.613727
-0.055849 0.598163
-0.049745 0.559404
-0.045167 0.502640
-0.035707 0.429090
-0.028382 0.335093
-0.018616 0.233467
-0.004273 0.127262
0.007630 0.011597
0.019532 -0.102542
0.030519 -0.214545
0.039674 -0.321055
0.048830 -0.412915
0.055849 -0.489822
0.062563 -0.549028
0.063478 -0.591754
0.065310 -0.612812
0.066225 -0.610675
0.062563 -0.587176
0.057070 -0.542314
0.049440 -0.480056
0.040590 -0.400403
0.030519 -0.305490
0.018921 -0.198675
0.006409 -0.087588
-0.004883 0.027161
-0.016480 0.140690
-0.027161 0.251473
-0.033265 0.351268
-0.043947 0.440382
-0.051881 0.512101
-0.054018 0.566118
-0.061953 0.598773
-0.057985 0.614032
-0.056154 0.603656
-0.053713 0.574969
-0.046083 0.524613
-0.040895 0.456557
-0.028993 0.369884
-0.019837 0.273446
-0.008240 0.164190
0.004578 0.050661
0.016480 -0.064089
0.025941 -0.176397
0.035096 -0.286264
0.046999 -0.379650
0.053407 -0.464797
0.062258 -0.531022
0.064394 -0.579241
0.064699 -0.606403
0.064394 -0.614032
0.062258 -0.598163
0.057680 -0.559404
0.052492 -0.502945
0.043947 -0.426954
0.032655 -0.337840
0.021363 -0.236518
0.010987 -0.127262
-0.001526 -0.010376
-0.011902 0.104373
-0.022279 0.215155
-0.031739 0.321970
-0.042116 0.409864
-0.049745 0.489822
-0.054628 0.550554
-0.057680 0.590228
-0.059206 0.611591
-0.057985 0.609455
-0.053407 0.588397
-0.049745 0.544145
-0.042726 0.482192
-0.032655 0.401624
-0.021973 0.305795
-0.006104 0.207526
-0.001526 0.088504
0.010987 -0.024720
0.023194 -0.141606
0.035096 -0.248726
0.042726 -0.349742
0.053102 -0.438551
0.058290 -0.510880
0.062258 -0.566118
0.066530 -0.599384
0.064089 -0.617084
0.064394 -0.604572
0.060732 -0.573748
0.054018 -0.524613
0.047914 -0.455641
0.035707 -0.369579
0.026551 -0.272530
0.014649 -0.163579
0.001526 -0.049440
-0.007630 0.066836
-0.018006 0.180670
-0.031434 0.284738
-0.039979 0.382702
-0.046999 0.465102
-0.051576 0.531022
-0.056764 0.581072
-0.056764 0.610370
-0.056764 0.614643
-0.055239 0.597552
-0.050050 0.560320
-0.043031 0.502945
-0.035096 0.429090
-0.027161 0.338145
-0.014954 0.238350
-0.003052 0.126041
0.008545 0.012207
0.020753 -0.102542
0.033876 -0.213630
0.041810 -0.317392
0.049440 -0.410474
0.056154 -0.490127
0.061647 -0.548418
0.066225 -0.593280
0.068667 -0.611591
0.065310 -0.609760
0.065004 -0.586566
0.056154 -0.544755
0.047304 -0.481887
0.037233 -0.403150
0.032350 -0.306711
0.018616 -0.200812
0.007019 -0.088809
-0.003662 0.028382
-0.016480 0.140385
-0.028382 0.250252
-0.039674 0.349742
-0.045473 0.439772
-0.051271 0.511490
-0.054323 0.566118
-0.059206 0.601215
-0.057375 0.613422
-0.056154 0.605792
-0.051576 0.575579
-0.046693 0.524613
-0.039979 0.456557
-0.029603 0.370495
-0.019227 0.274972
-0.012513 0.159307
0.005188 0.050966
0.014954 -0.064699
0.027772 -0.178228
0.037538 -0.284127
